,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie 1.2.5
Defunciones en el año (t+1) por sexo, según región y provincia de residencia habitual del fallecido/a
Chimborazo,2453,"1,321 ","1,132 ","2,583 ","1,363 ","1,220 ","2,527 ","1,344 ","1,183 ","2,455 ","1,295 ","1,160 ","2,461 ","1,267 ","1,194 ","2,409 ","1,240 ","1,169 ","2,513 ","1,296 ","1,217 ","2,343 ","1,231 ","1,112 ","2,408 ","1,201 ","1,207 ","2,566 ","1,339 ","1,227 ","2,530 ","1,300 ","1,230 ","2,541 ","1,342 ","1,199 ","3,670 ","2,073 ","1,597 ","3,406 ",1866,1540,,,
Imbabura,2027,"1,084 ",943 ,"2,046 ","1,138 ",908 ,"1,994 ","1,084 ",910 ,"2,089 ","1,090 ",999 ,"1,996 ","1,037 ",959 ,"1,895 ",998 ,897 ,"1,909 ","1,001 ",908 ,"1,943 ",992 ,951 ,"1,981 ","1,024 ",957 ,"2,153 ","1,103 ","1,050 ","2,125 ","1,131 ",994 ,"2,199 ","1,156 ","1,043 ","2,882 ","1,608 ","1,274 ","2,942 ",1630,1312,,,
Loja,2059,"1,183 ",876 ,"2,053 ","1,098 ",955 ,"2,080 ","1,126 ",954 ,"2,288 ","1,268 ","1,020 ","2,130 ","1,186 ",944 ,"2,171 ","1,180 ",991 ,"2,130 ","1,149 ",981 ,"2,191 ","1,182 ","1,009 ","2,227 ","1,251 ",976 ,"2,335 ","1,244 ","1,091 ","2,429 ","1,328 ","1,101 ","2,441 ","1,290 ","1,151 ","3,013 ","1,702 ","1,311 ","3,529 ",1978,1551,,,
Pichincha,9543,"5,133 ","4,410 ","9,298 ","4,979 ","4,319 ","9,618 ","5,169 ","4,449 ","9,724 ","5,190 ","4,534 ","10,035 ","5,253 ","4,782 ","10,004 ","5,348 ","4,656 ","9,914 ","5,209 ","4,705 ","10,070 ","5,279 ","4,791 ","10,707 ","5,736 ","4,971 ","11,435 ","5,981 ","5,454 ","11,945 ","6,261 ","5,684 ","12,056 ","6,311 ","5,745 ","18,825 ","10,803 ","8,022 ","18,464 ",10350,8114,,,
Tungurahua,2752,"1,546 ","1,206 ","2,547 ","1,348 ","1,199 ","2,641 ","1,388 ","1,253 ","2,594 ","1,386 ","1,208 ","2,652 ","1,443 ","1,209 ","2,614 ","1,336 ","1,278 ","2,572 ","1,344 ","1,228 ","2,575 ","1,340 ","1,235 ","2,703 ","1,395 ","1,308 ","2,540 ","1,293 ","1,247 ","2,890 ","1,527 ","1,363 ","2,865 ","1,523 ","1,342 ","4,162 ","2,385 ","1,777 ","4,118 ",2300,1818,,,
Santo Domingo de los Tsáchilas,1593,"1,011 ",582 ,"1,613 ",992 ,621 ,"1,533 ",946 ,587 ,"1,597 ",943 ,654 ,"1,639 ",965 ,674 ,"1,615 ",963 ,652 ,"1,510 ",885 ,625 ,"1,662 ",949 ,713 ,"1,733 ","1,000 ",733 ,"1,759 ",998 ,761 ,"1,846 ","1,057 ",789 ,"1,942 ","1,159 ",783 ,"2,870 ","1,724 ","1,146 ","2,848 ",1698,1150,,,
Región Costa,29347,"17,539 ","11,808 ","29,512 ","17,385 ","12,127 ","30,942 ","18,141 ","12,801 ","31,078 ","18,257 ","12,821 ","31,910 ","18,337 ","13,573 ","32,639 ","18,651 ","13,988 ","32,479 ","18,483 ","13,996 ","33,842 ","19,163 ","14,679 ","35,658 ","19,914 ","15,744 ","36,339 ","20,530 ","15,809 ","36,368 ","20,527 ","15,841 ","38,279 ","21,832 ","16,447 ","65,817 ","39,556 ","26,261 ","53,512 ","30,931 ","22,581 ",,,
El Oro,2377,"1,467 ",910 ,"2,293 ","1,394 ",899 ,"2,493 ","1,480 ","1,013 ","2,607 ","1,546 ","1,061 ","2,596 ","1,564 ","1,032 ","2,651 ","1,513 ","1,138 ","2,647 ","1,521 ","1,126 ","2,795 ","1,614 ","1,181 ","2,885 ","1,632 ","1,253 ","3,064 ","1,785 ","1,279 ","3,017 ","1,736 ","1,281 ","3,167 ","1,846 ","1,321 ","5,119 ","3,086 ","2,033 ","4,996 ",2984,2012,,,
Esmeraldas,1746,"1,125 ",621 ,"1,736 ","1,070 ",666 ,"1,895 ","1,153 ",742 ,"1,790 ","1,115 ",675 ,"1,903 ","1,108 ",795 ,"1,691 ","1,005 ",686 ,"1,710 ","1,022 ",688 ,"1,804 ","1,052 ",752 ,"1,677 ",969 ,708 ,"1,726 ",978 ,748 ,"1,804 ","1,053 ",751 ,"1,950 ","1,119 ",831 ,"2,719 ","1,628 ","1,091 ","2,763 ",1631,1132,,,
Guayas,14663,"8,556 ","6,107 ","14,904 ","8,642 ","6,262 ","15,743 ","9,140 ","6,603 ","16,133 ","9,208 ","6,925 ","16,469 ","9,228 ","7,241 ","17,244 ","9,738 ","7,506 ","17,244 ","9,644 ","7,600 ","17,804 ","9,977 ","7,827 ","18,675 ","10,299 ","8,376 ","19,402 ","10,773 ","8,629 ","19,184 ","10,623 ","8,561 ","20,326 ","11,408 ","8,918 ","37,775 ","22,691 ","15,084 ","28,222 ",16158,12064,,,
Los Ríos,3663,"2,251 ","1,412 ","3,681 ","2,272 ","1,409 ","3,656 ","2,218 ","1,438 ","3,612 ","2,264 ","1,348 ","3,605 ","2,230 ","1,375 ","3,664 ","2,218 ","1,446 ","3,622 ","2,160 ","1,462 ","3,600 ","2,093 ","1,507 ","3,881 ","2,281 ","1,600 ","3,952 ","2,307 ","1,645 ","4,009 ","2,403 ","1,606 ","4,252 ","2,515 ","1,737 ","5,684 ","3,449 ","2,235 ","5,777 ",3416,2361,,,
Manabí,6003,"3,635 ","2,368 ","5,847 ","3,417 ","2,430 ","6,111 ","3,569 ","2,542 ","5,904 ","3,528 ","2,376 ","6,119 ","3,521 ","2,598 ","6,177 ","3,534 ","2,643 ","6,061 ","3,469 ","2,592 ","6,531 ","3,717 ","2,814 ","7,229 ","4,002 ","3,227 ","6,760 ","3,891 ","2,869 ","6,880 ","3,901 ","2,979 ","7,151 ","4,117 ","3,034 ","11,323 ","6,672 ","4,651 ","9,782 ",5592,4190,,,
Santa Elena,895,505 ,390 ,"1,051 ",590 ,461 ,"1,044 ",581 ,463 ,"1,032 ",596 ,436 ,"1,218 ",686 ,532 ,"1,212 ",643 ,569 ,"1,195 ",667 ,528 ,"1,308 ",710 ,598 ,"1,311 ",731 ,580 ,"1,435 ",796 ,639 ,"1,474 ",811 ,663 ,"1,433 ",827 ,606 ,"3,197 ","2,030 ","1,167 ","1,972 ",1150,822,,,
Región Amazónica,1999,"1,241 ",758 ,"2,050 ","1,290 ",760 ,"2,236 ","1,321 ",915 ,"2,277 ","1,435 ",842 ,"2,464 ","1,456 ","1,008 ","2,502 ","1,497 ","1,005 ","2,438 ","1,492 ",946 ,"2,519 ","1,520 ",999 ,"2,471 ","1,480 ",991 ,"2,701 ","1,649 ","1,052 ","2,898 ","1,747 ","1,151 ","2,914 ","1,691 ","1,223 ","3,953 ","2,478 ","1,475 ","3,964 ","2,402 ","1,562 ",,,
Morona Santiago,338,210 ,128 ,431 ,264 ,167 ,403 ,232 ,171 ,407 ,242 ,165 ,456 ,256 ,200 ,498 ,283 ,215 ,504 ,316 ,188 ,508 ,318 ,190 ,515 ,300 ,215 ,537 ,321 ,216 ,618 ,342 ,276 ,607 ,323 ,284 ,774 ,474 ,300 ,726 ,406,320,,,
Napo,336,208 ,128 ,257 ,165 ,92 ,367 ,206 ,161 ,352 ,217 ,135 ,405 ,233 ,172 ,363 ,205 ,158 ,351 ,209 ,142 ,386 ,237 ,149 ,384 ,221 ,163 ,401 ,253 ,148 ,406 ,243 ,163 ,426 ,243 ,183 ,596 ,386 ,210 ,582 ,361,221,,,
Pastaza,210,109 ,101 ,217 ,141 ,76 ,231 ,135 ,96 ,246 ,149 ,97 ,289 ,167 ,122 ,269 ,159 ,110 ,265 ,154 ,111 ,267 ,144 ,123 ,281 ,162 ,119 ,320 ,198 ,122 ,371 ,230 ,141 ,347 ,207 ,140 ,470 ,275 ,195 ,465 ,266,199,,,
Zamora Chinchipe,269,157 ,112 ,263 ,157 ,106 ,313 ,183 ,130 ,302 ,194 ,108 ,302 ,181 ,121 ,331 ,189 ,142 ,306 ,175 ,131 ,316 ,176 ,140 ,282 ,165 ,117 ,363 ,217 ,146 ,346 ,206 ,140 ,373 ,217 ,156 ,487 ,293 ,194 ,522 ,320,202,,,
Sucumbíos,463,303 ,160 ,471 ,310 ,161 ,530 ,349 ,181 ,553 ,367 ,186 ,570 ,365 ,205 ,620 ,394 ,226 ,624 ,406 ,218 ,583 ,355 ,228 ,591 ,371 ,220 ,639 ,395 ,244 ,656 ,416 ,240 ,690 ,419 ,271 ,997 ,644 ,353 ,980 ,627,353,,,
Orellana,383,254 ,129 ,411 ,253 ,158 ,392 ,216 ,176 ,417 ,266 ,151 ,442 ,254 ,188 ,421 ,267 ,154 ,388 ,232 ,156 ,459 ,290 ,169 ,418 ,261 ,157 ,441 ,265 ,176 ,501 ,310 ,191 ,471 ,282 ,189 ,629 ,406 ,223 ,689 ,422,267,,,
Región Insular,29,13 ,16 ,43 ,27 ,16 ,43 ,22 ,21 ,53 ,39 ,14 ,41 ,25 ,16 ,42 ,28 ,14 ,44 ,28 ,16 ,41 ,26 ,15 ,46 ,30 ,16 ,41 ,26 ,15 ,66 ,33 ,33 ,45 ,27 ,18 ,53 ,40 ,13 ,82 ,59 ,23 ,,,
Galápagos,29,13 ,16 ,43 ,27 ,16 ,43 ,22 ,21 ,53 ,39 ,14 ,41 ,25 ,16 ,42 ,28 ,14 ,44 ,28 ,16 ,41 ,26 ,15 ,46 ,30 ,16 ,41 ,26 ,15 ,66 ,33 ,33 ,45 ,27 ,18 ,53 ,40 ,13 ,82 ,59,23,,,
Exterior,73,52 ,21 ,85 ,56 ,29 ,65 ,41 ,24 ,55 ,40 ,15 ,17 ,14 ,3 ,20 ,15 ,5 ,38 ,27 ,11 ,35 ,25 ,10 ,45 ,34 ,11 ,52 ,37 ,15 ,61 ,38 ,23 ,65 ,48 ,17 ,27 ,22 ,5 ,29 ,19 ,10 ,,,
"1/ Defunciones registrados en el año (t+1):  corresponden a las defunciones generales ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre del año siguiente. Cabe mencionar que se ha realizado el ajuste desde el año 2013. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el 2020, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: Registro estadístico de defunciones generales, años 2008-2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
