,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.10 
Defunciones en el año (t), por tipo de certificación y grupos de edad, según causas de muerte y sexo
A06   Amebiasis,Total, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A08   Infecciones intestinales debidas a virus y otros organismos especificados,Total, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A09   Diarrea y gastroenteritis de presunto origen infeccioso,Total, 88 , 10 , 1 , - , - , - , 16 , 13 , 4 , 5 , - , 1 , 1 , 2 , - , 3 , 3 , 1 , 4 , 45 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 34 , 5 , - , - , - , - , 9 , 4 , 3 , 2 , - , - , - , 1 , - , - , 1 , 1 , 1 , 17 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 54 , 5 , 1 , - , - , - , 7 , 9 , 1 , 3 , - , 1 , 1 , 1 , - , 3 , 2 , - , 3 , 28 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A15   Tuberculosis respiratoria, confirmada bacteriológica e histológicamente",Total, 34 , - , - , - , - , - , - , - , - , - , 2 , 4 , 3 , 4 , 1 , 4 , 4 , 1 , 3 , 6 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 25 , - , - , - , - , - , - , - , - , - , 2 , 3 , 2 , 3 , 1 , 2 , 2 , 1 , 2 , 5 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 9 , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 , - , 2 , 2 , - , 1 , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A16   Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente",Total, 411 , 6 , 2 , - , - , - , 1 , - , - , - , 8 , 30 , 30 , 45 , 34 , 36 , 27 , 39 , 35 , 121 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 306 , 5 , 2 , - , - , - , 1 , - , - , - , 5 , 25 , 27 , 40 , 28 , 28 , 21 , 33 , 24 , 72 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 105 , 1 , - , - , - , - , - , - , - , - , 3 , 5 , 3 , 5 , 6 , 8 , 6 , 6 , 11 , 49 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A17   Tuberculosis del sistema nervioso,Total, 31 , - , - , - , - , - , - , - , - , 2 , 1 , 3 , 4 , 2 , 3 , 5 , 1 , 1 , 3 , 4 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 22 , - , - , - , - , - , - , - , - , 2 , 1 , 2 , 4 , 1 , 2 , 3 , 1 , - , 2 , 3 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 9 , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , 2 , - , 1 , 1 , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A18   Tuberculosis de otros órganos,Total, 21 , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 , 5 , - , 1 , 3 , 2 , 6 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 14 , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 4 , - , 1 , 2 , 1 , 3 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 7 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , - , 1 , 1 , 3 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A19   Tuberculosis miliar,Total, 24 , - , - , - , - , - , - , - , - , - , 1 , 2 , 3 , 6 , 1 , 3 , - , 1 , 2 , 5 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 16 , - , - , - , - , - , - , - , - , - , - , 2 , 3 , 5 , 1 , 1 , - , 1 , 1 , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 8 , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , 2 , - , - , 1 , 3 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27   Leptospirosis,Total, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A30   Lepra [enfermedad de Hansen],Total, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A35   Otros tétanos,Total, 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 5 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A39   Enfermedad meningocócica,Total, 3 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A41   Otras septicemias,Total," 1,169 ", - , 2 , - , - , - , 23 , 13 , 5 , 4 , 11 , 15 , 13 , 29 , 26 , 44 , 66 , 92 , 117 , 686 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 620 , - , 2 , - , - , - , 14 , 8 , 4 , 3 , 7 , 8 , 10 , 17 , 13 , 25 , 36 , 42 , 64 , 355 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 549 , - , - , - , - , - , 9 , 5 , 1 , 1 , 4 , 7 , 3 , 12 , 13 , 19 , 30 , 50 , 53 , 331 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A46   Erisipela,Total, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A48   Otras enfermedades bacterianas, no clasificadas en otra parte",Total, 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A49   Infección bacteriana de sitio no especificado,Total, 25 , 2 , 1 , - , - , 1 , 3 , 1 , 1 , - , 1 , - , - , 1 , - , - , 3 , 3 , 2 , 12 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 14 , 1 , - , - , - , - , 2 , - , - , - , - , - , - , 1 , - , - , 2 , 3 , 1 , 6 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 11 , 1 , 1 , - , - , 1 , 1 , 1 , 1 , - , 1 , - , - , - , - , - , 1 , - , 1 , 6 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A50   Sífilis congénita,Total, 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A52   Sífilis tardía,Total, 2 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 1 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A81   Infecciones del sistema nervioso central por virus atípico,Total, 4 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , 3 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A85   Otras encefalitis virales, no clasificadas en otra parte",Total, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A86   Encefalitis viral, no especificada",Total, 26 , - , - , - , - , - , - , 1 , 1 , 2 , - , 1 , 4 , 1 , - , 2 , - , 1 , 2 , 10 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 18 , - , - , - , - , - , - , 1 , 1 , 1 , - , - , 3 , - , - , 2 , - , 1 , 1 , 7 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 8 , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , 1 , - , - , - , - , 1 , 3 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A87   Meningitis viral,Total, 2 , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A97   Dengue,Total, 36 , - , - , - , - , - , 1 , 3 , 6 , 5 , 4 , 3 , 2 , - , 2 , - , - , 1 , 1 , 6 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 14 , - , - , - , - , - , 1 , 2 , 2 , 3 , 1 , 1 , - , - , - , - , - , - , 1 , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 22 , - , - , - , - , - , - , 1 , 4 , 2 , 3 , 2 , 2 , - , 2 , - , - , 1 , - , 4 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A99   Fiebre viral hemorrágica, no especificada",Total, 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00   Infecciones herpética [herpes simple],Total, 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01   Varicela,Total, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B02   Herpes zoster,Total, 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B15   Hepatitis aguda tipo A,Total, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B16   Hepatitis aguda tipo B,Total, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B17   Otras hepatitis virales agudas,Total, 4 , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 1 , - , - , 1 , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 1 , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B18   Hepatitis viral crónica,Total, 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 , 1 , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B19   Hepatitis viral, sin otra especificación",Total, 2 , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , 1 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 2 , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , 1 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B20   Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",Total, 337 , - , - , - , - , - , 1 , - , - , - , 5 , 32 , 51 , 73 , 40 , 55 , 24 , 17 , 12 , 12 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 257 , - , - , - , - , - , 1 , - , - , - , 5 , 24 , 40 , 51 , 30 , 40 , 18 , 16 , 11 , 10 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 80 , - , - , - , - , - , - , - , - , - , - , 8 , 11 , 22 , 10 , 15 , 6 , 1 , 1 , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B21   Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante  en tumores malignos",Total, 19 , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , 2 , 4 , 1 , 2 , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 16 , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , 2 , 4 , 1 , 2 , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 3 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B22   Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas",Total, 40 , - , - , - , - , - , - , - , - , - , - , 2 , 6 , 10 , 4 , 9 , 4 , 1 , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 30 , - , - , - , - , - , - , - , - , - , - , 1 , 5 , 8 , 3 , 5 , 3 , 1 , - , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 10 , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 , 1 , 4 , 1 , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B23   Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras afecciones",Total, 72 , - , - , - , - , - , - , - , - , - , - , 5 , 12 , 10 , 7 , 11 , 7 , 5 , 4 , 3 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 53 , - , - , - , - , - , - , - , - , - , - , 4 , 9 , 6 , 5 , 6 , 5 , 4 , 4 , 3 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 19 , - , - , - , - , - , - , - , - , - , - , 1 , 3 , 4 , 2 , 5 , 2 , 1 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B24   Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",Total, 111 , - , 1 , - , - , - , - , - , - , - , - , 9 , 9 , 17 , 13 , 17 , 11 , 11 , 6 , 12 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 86 , - , 1 , - , - , - , - , - , - , - , - , 6 , 9 , 15 , 9 , 10 , 9 , 10 , 5 , 10 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer, 25 , - , - , - , - , - , - , - , - , - , - , 3 , - , 2 , 4 , 7 , 2 , 1 , 1 , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B27   Mononucleosis infecciosa,Total, 1 , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hombre, 1 , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
