,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cuadro No. 3.1.12
Defunciones en el año (t) masculinas, por  provincia y área de residencia habitual del fallecido/a, según causas de muerte
Lista especial de tabulación 103  (Décima Revisión CIE - 10)
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030 Tumor maligno del colon  del recto y del ano, 448 , 366 , 82 , 25 , 10 , 3 , 3 , 3 , 2 , 4 , 2 , 6 , 3 , 8 , 4 , 19 , 2 , 7 , 7 , 112 , 6 , 13 , 3 , 8 , 4 , 20 , 2 , 33 , 8 , 1 , 1 , 2 , 2 , 3 , - , 58 , 20 , 10 , 2 , 1 , 1 , 1 , - , 4 , - , 1 , - , 17 , - , 7 , - , - ,,
,031 Tumor maligno del hígado y de las vías biliares intrahepat, 386 , 287 , 99 , 11 , 10 , 2 , - , 9 , 1 , 3 , 3 , 6 , 3 , 9 , 3 , 11 , 4 , 6 , 5 , 74 , 3 , 8 , 4 , 12 , 7 , 17 , 1 , 30 , 9 , 4 , 5 , 1 , 1 , 1 , - , 44 , 17 , 13 , 9 , 1 , - , - , - , 2 , 2 , - , - , 13 , 2 , 10 , 10 , - ,,
,032 Tumor maligno del páncreas, 250 , 186 , 64 , 6 , 8 , 2 , 2 , 1 , 2 , 1 , 2 , 4 , 1 , 3 , 5 , 10 , 3 , 4 , 1 , 64 , 2 , 3 , 1 , 7 , 3 , 10 , 2 , 18 , 2 , - , 1 , - , - , - , - , 35 , 23 , 6 , 4 , 1 , - , - , - , 1 , - , 1 , - , 5 , 2 , 4 , - , - ,,
,033 Tumor maligno de la laringe, 43 , 39 , 4 , 1 , 1 , 2 , - , - , - , 1 , - , - , - , 1 , - , 2 , 1 , 1 , - , 14 , - , 1 , - , - , - , 1 , - , 4 , 1 , - , - , - , - , - , - , 6 , 1 , 2 , - , - , - , - , - , - , - , - , - , 1 , - , 2 , - , - ,,
,034 Tumor maligno de la tráquea de los bronquios y del pulmón, 358 , 288 , 70 , 21 , 9 , 3 , 2 , 3 , - , 1 , 2 , 2 , 1 , 9 , 1 , 10 , 6 , 15 , 1 , 105 , 4 , 7 , 2 , 11 , 5 , 18 , 4 , 22 , 3 , 1 , 1 , 2 , 1 , - , 1 , 44 , 17 , 4 , 6 , 1 , - , - , - , 1 , - , - , - , 5 , 4 , 3 , - , - ,,
,035 Melanoma maligno de la piel, 52 , 43 , 9 , 2 , 1 , - , - , 1 , - , - , - , - , - , 1 , - , - , - , 1 , - , 11 , - , 3 , 1 , 3 , 1 , 1 , - , 3 , - , - , - , - , - , - , - , 10 , 5 , 5 , 1 , - , - , - , - , - , - , - , - , 2 , - , - , - , - ,,
,036 Tumor maligno de la mama, 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - ,,
,038 Tumor maligno de las partes y de las no especificadas del útero, 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
,040 Tumor maligno de la próstata," 1,152 ", 848 , 304 , 33 , 20 , 11 , 3 , 10 , 10 , 17 , 4 , 22 , 20 , 27 , 13 , 43 , 4 , 29 , 8 , 260 , 23 , 28 , 17 , 32 , 24 , 58 , 14 , 75 , 42 , 1 , 1 , 3 , - , 3 , 1 , 121 , 62 , 25 , 24 , 3 , 2 , - , - , 4 , 1 , 3 , 3 , 32 , 4 , 8 , 4 , - ,,
,041 Tumor maligno de la vejiga urinaria, 86 , 67 , 19 , 3 , - , 2 , 1 , 1 , 1 , 1 , - , 2 , - , 1 , - , 5 , 2 , 3 , - , 15 , - , 4 , - , 3 , 1 , 1 , - , 10 , 2 , 1 , - , - , - , - , - , 11 , 10 , 2 , 1 , - , 1 , - , - , - , - , - , - , 1 , - , 1 , - , - ,,
,"042 Tumor maligno de la mening, del encefalo y de otras partes del snc", 199 , 144 , 55 , 8 , 4 , 3 , 2 , 3 , 3 , - , - , 4 , 2 , 2 , 2 , 6 , 1 , 4 , 2 , 42 , 4 , 4 , - , 3 , 1 , 6 , 1 , 5 , 1 , - , - , - , 1 , 1 , 1 , 33 , 22 , 5 , 5 , 4 , - , 1 , - , 2 , - , - , - , 5 , 3 , 3 , - , - ,,
,043 Linfoma no Hodgkin, 238 , 191 , 47 , 14 , 6 , 5 , 2 , 2 , 1 , 1 , - , 6 , 2 , 5 , 2 , 17 , - , 3 , 1 , 43 , 2 , 7 , 2 , 8 , 4 , 4 , - , 10 , 1 , 1 , - , 1 , 1 , 2 , - , 39 , 16 , 7 , 5 , - , - , 1 , - , 2 , 1 , - , - , 7 , - , 6 , 1 , - ,,
,044 Mieloma multiple y tumores malignos de célula plasmáticas, 84 , 62 , 22 , 4 , 2 , 1 , 1 , - , 1 , 1 , 1 , 1 , 2 , 1 , - , 2 , - , - , 1 , 22 , 2 , 1 , 1 , 1 , - , 2 , 2 , 4 , 1 , - , - , - , - , - , - , 18 , 7 , 4 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - ,,
,045 Leucemia, 299 , 213 , 86 , 11 , 10 , 4 , 1 , 1 , - , - , 2 , 9 , 3 , 4 , 3 , 11 , 3 , 6 , 4 , 65 , 3 , 3 , 3 , 10 , 6 , 11 , 5 , 12 , 3 , - , 2 , - , 1 , 2 , - , 35 , 22 , 8 , 8 , 1 , 1 , 1 , - , 5 , 1 , 3 , - , 9 , - , 2 , 5 , - ,,
,046 Resto de tumores malignos, 967 , 713 , 254 , 42 , 21 , 14 , 6 , 8 , 6 , 15 , 3 , 11 , 10 , 19 , 6 , 43 , 8 , 16 , 11 , 182 , 10 , 25 , 14 , 21 , 17 , 34 , 13 , 76 , 15 , 1 , - , 5 , - , 2 , 2 , 138 , 77 , 22 , 18 , 5 , 3 , - , - , 5 , 2 , 1 , 1 , 20 , 8 , 8 , 3 , - ,,
,047 Resto de tumores, 481 , 382 , 99 , 6 , 6 , 5 , 1 , 4 , 3 , 1 , 1 , 8 , 8 , 15 , 8 , 27 , 4 , 5 , 6 , 143 , 4 , 12 , 4 , 11 , 5 , 27 , 5 , 31 , 6 , 3 , 1 , 1 , 2 , 2 , 1 , 49 , 19 , 12 , 3 , 1 , - , 1 , - , 5 , 5 , - , 2 , 4 , 2 , 9 , 3 , - ,,
,049 Anemias, 183 , 147 , 36 , 3 , 1 , 1 , 5 , - , - , 1 , 1 , 1 , 3 , 2 , 3 , 12 , 1 , 3 , 3 , 47 , 2 , 4 , - , 7 , 1 , 15 , 4 , 15 , 2 , - , 1 , - , - , - , 1 , 14 , 4 , 9 , 1 , 3 , - , - , - , 1 , - , 1 , - , 3 , 1 , 5 , 2 , - ,,
,050 Resto de enfermedades de la sangre y organos hematopoyéticos y otros transtornos que afectan al mecanismo inmunoló, 112 , 88 , 24 , 4 , 2 , 2 , - , - , 1 , 2 , - , - , 2 , 2 , 1 , 4 , 2 , 1 , 1 , 21 , 1 , 5 , - , 2 , - , 4 , 4 , 8 , 1 , - , - , 3 , 1 , - , - , 18 , 5 , 2 , 1 , 1 , - , - , - , - , - , - , 2 , 3 , - , 6 , - , - ,,
,052 Diabetes mellitus," 2,634 "," 2,133 ", 501 , 42 , 32 , 20 , 4 , 26 , 10 , 10 , 4 , 36 , 12 , 50 , 8 , 112 , 8 , 45 , 29 , 818 , 76 , 40 , 8 , 38 , 16 , 162 , 35 , 292 , 81 , 7 , 4 , 4 , 2 , 7 , 4 , 192 , 85 , 38 , 27 , 8 , 4 , 1 , - , 13 , 3 , 5 , 1 , 90 , 19 , 76 , 29 , 1 ,,
,053 Desnutrición, 196 , 138 , 58 , 9 , 4 , 3 , 2 , - , - , 2 , - , 7 , 6 , 4 , 2 , 4 , - , 1 , 2 , 31 , 4 , 1 , 5 , 3 , 2 , 18 , 1 , 21 , 4 , 2 , 1 , - , 1 , - , - , 22 , 11 , 3 , 5 , - , 1 , 1 , - , 1 , - , - , 1 , 3 , - , 2 , 6 , - ,,
,"054 Resto de enferm.endocrinas, nutricionales y metabólicas", 332 , 254 , 78 , 10 , 16 , 4 , - , 6 , 1 , 8 , 4 , 5 , 2 , 7 , 5 , 9 , 2 , 3 , 2 , 70 , - , 6 , 3 , 7 , 2 , 14 , 6 , 17 , 9 , 2 , 1 , 5 , - , 1 , - , 48 , 15 , 14 , 3 , 3 , 1 , - , - , 1 , 2 , 4 , 2 , 2 , - , 8 , 2 , - ,,
,056 Transtornos mentales y del comportamiento debido al uso de sustancias psicoactivas, 78 , 52 , 26 , 9 , 9 , 1 , - , 5 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , - , 1 , - , 9 , - , 3 , - , 7 , - , 3 , 2 , 2 , 1 , 1 , - , - , - , - , - , 2 , 3 , 2 , 4 , - , 1 , - , - , - , - , - , - , 1 , 1 , 1 , - , - ,,
,057 Resto de trastornos mentales y del comportamiento, 78 , 45 , 33 , 6 , 1 , 2 , 1 , - , - , 1 , 1 , - , - , - , 3 , - , 2 , - , - , 5 , - , 4 , 2 , 1 , 2 , 1 , - , 2 , 3 , - , - , - , - , - , - , 17 , 17 , 1 , 1 , - , - , - , - , 1 , - , 1 , - , 3 , - , - , - , - ,,
,059 Meningitis, 44 , 38 , 6 , 1 , - , - , - , - , - , - , - , 1 , 1 , - , - , 2 , - , 6 , - , 15 , 2 , - , - , 1 , 1 , 2 , 1 , 3 , - , - , - , - , - , - , - , 4 , - , - , - , 1 , - , - , - , 1 , - , - , - , - , - , 1 , 1 , - ,,
,060 Enfermedad de Alzheimer, 220 , 164 , 56 , 7 , 6 , 3 , 1 , - , 1 , 2 , - , - , - , 1 , 1 , 12 , 2 , 2 , 1 , 29 , 5 , 7 , 3 , 12 , 6 , 10 , 2 , 20 , 7 , 1 , - , 1 , - , - , - , 45 , 17 , 4 , 1 , - , - , - , - , 1 , - , 1 , - , 4 , 2 , 2 , 1 , - ,,
,061 Resto de enfermedades del sistema nervioso, 742 , 528 , 214 , 31 , 20 , 11 , 6 , 6 , 3 , 5 , 4 , 17 , 15 , 15 , 8 , 21 , 3 , 15 , 5 , 138 , 21 , 17 , 13 , 31 , 25 , 19 , 8 , 53 , 11 , 4 , 1 , 4 , 2 , - , 1 , 86 , 42 , 19 , 13 , 2 , - , 3 , - , 4 , 3 , 3 , 2 , 17 , 5 , 7 , 3 , - ,,
,062 Enfermedades del ojo y sus anexos, 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
,064 Enfermedades del sistema circulatorio, 15 , 9 , 6 , - , 1 , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , 4 , 3 , - , - , - , - , 2 , - , 1 , 1 , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
,065 Fiebre reumática aguda y enfermedades cardiacas reumáticas crónicas, 28 , 23 , 5 , 2 , - , - , - , - , - , 1 , - , 1 , - , 2 , - , - , 1 , - , - , 8 , 1 , - , - , 1 , 1 , 1 , - , 1 , - , - , - , - , - , - , - , 3 , 1 , - , 1 , - , - , - , - , - , - , 2 , - , - , - , 1 , - , - ,,
,066 Enfermedades hipertensivas," 1,955 "," 1,418 ", 537 , 57 , 35 , 33 , 11 , 16 , 11 , 25 , 14 , 51 , 30 , 40 , 22 , 77 , 22 , 39 , 25 , 322 , 15 , 32 , 26 , 69 , 73 , 101 , 31 , 170 , 56 , 4 , 1 , 6 , 5 , 2 , 3 , 212 , 81 , 49 , 31 , 2 , 3 , 3 , - , 8 , 7 , 1 , 2 , 51 , 9 , 47 , 24 , 1 ,,
,067 Enfermedades isquémicas del corazón," 7,224 "," 5,662 "," 1,562 ", 110 , 86 , 48 , 23 , 52 , 46 , 46 , 20 , 75 , 72 , 94 , 83 , 184 , 43 , 125 , 62 ," 2,541 ", 181 , 108 , 64 , 121 , 61 , 470 , 116 , 595 , 194 , 13 , 14 , 4 , 3 , 10 , 6 , 704 , 301 , 117 , 93 , 8 , 9 , 3 , - , 17 , 15 , 9 , 3 , 142 , 40 , 63 , 27 , 3 ,,
,068 Otras enfermedades del corazón," 1,349 "," 1,026 ", 323 , 63 , 36 , 13 , 12 , 9 , 11 , 19 , 4 , 29 , 14 , 28 , 13 , 42 , 9 , 13 , 12 , 299 , 15 , 45 , 15 , 27 , 13 , 44 , 10 , 90 , 22 , 2 , 3 , 5 , 3 , 5 , 1 , 165 , 71 , 55 , 37 , 6 , 2 , 1 , - , 11 , 6 , 1 , 3 , 32 , 3 , 22 , 8 , - ,,
,069 Enfermedades Cerebro vasculares," 2,625 "," 2,018 ", 607 , 61 , 41 , 34 , 16 , 30 , 10 , 19 , 6 , 44 , 27 , 44 , 25 , 90 , 15 , 72 , 39 , 700 , 44 , 46 , 20 , 40 , 24 , 131 , 40 , 291 , 89 , 9 , 8 , 3 , 2 , 5 , 5 , 227 , 126 , 44 , 33 , 3 , 2 , 1 , - , 13 , 5 , 4 , 7 , 70 , 15 , 35 , 8 , 2 ,,
,070 Aterosclerosis, 10 , 7 , 3 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 , - , - , - , - , - , 1 , - , 2 , - , - , - , - , - , - , - , - , - , 2 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
,071 Resto de enfermedades del sistema circulatorio, 266 , 206 , 60 , 5 , 8 , 1 , 1 , 2 , - , 5 , 1 , 4 , - , 3 , 3 , 8 , 1 , 3 , 4 , 68 , 2 , 9 , 2 , 9 , 3 , 8 , 4 , 19 , 5 , - , 1 , 1 , 1 , - , - , 41 , 16 , 5 , 4 , - , - , - , 1 , 3 , - , 1 , 1 , 6 , 1 , 5 , 1 , - ,,
,073 Influenza (Gripe), 34 , 25 , 9 , 1 , - , - , - , - , - , - , - , 21 , 7 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
,074 Neumonia," 2,455 "," 1,944 ", 511 , 61 , 29 , 11 , 6 , 29 , 20 , 9 , 3 , 42 , 31 , 61 , 50 , 88 , 20 , 50 , 18 , 820 , 44 , 33 , 18 , 28 , 35 , 94 , 26 , 196 , 34 , 10 , 4 , 6 , 4 , 4 , 1 , 210 , 76 , 57 , 43 , 4 , 5 , 1 , 1 , 5 , 3 , 8 , 5 , 77 , 17 , 40 , 18 , - ,,
,075 Otras Infecciones agudas de las vías respiratorias inferiores, 35 , 22 , 13 , - , - , - , 1 , - , - , - , - , 1 , - , - , - , 2 , 1 , - , - , 10 , 1 , 1 , 1 , - , - , 5 , 3 , - , - , - , - , - , - , - , 1 , 1 , 1 , - , 3 , - , - , - , - , 1 , - , - , - , - , 1 , 1 , - , - ,,
,076 Enfermedades crónicas de las vías resp inferiores, 898 , 597 , 301 , 35 , 25 , 18 , 9 , 13 , 6 , 20 , 7 , 32 , 15 , 38 , 37 , 35 , 4 , 13 , 5 , 95 , 3 , 20 , 22 , 17 , 8 , 18 , 9 , 40 , 15 , 6 , 1 , 2 , 1 , 5 , 2 , 132 , 84 , 33 , 40 , 2 , - , 1 , 1 , 3 , 1 , 2 , 1 , 12 , 3 , 5 , 2 , - ,,
,077 Resto de enfermedades del sistema respiratorio," 1,565 "," 1,239 ", 326 , 59 , 41 , 8 , 9 , 35 , 12 , 10 , 5 , 21 , 15 , 42 , 10 , 65 , 13 , 18 , 5 , 422 , 12 , 23 , 8 , 36 , 12 , 62 , 14 , 115 , 25 , 8 , 4 , 12 , 2 , 2 , 3 , 221 , 88 , 19 , 31 , 8 , 2 , 1 , - , 3 , 1 , 3 , 3 , 31 , 9 , 15 , 2 , - ,,
,079 Ulcera gástrica y duodenal, 94 , 71 , 23 , 3 , 4 , - , - , 2 , 1 , 2 , 2 , 1 , 1 , 2 , - , 2 , 1 , 5 , 1 , 12 , 2 , 1 , 1 , 6 , 2 , 6 , 4 , 7 , 1 , 1 , - , - , - , - , - , 14 , 1 , 5 , 2 , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - ,,
,080 Enfermedades del hígado," 1,473 "," 1,133 ", 340 , 56 , 62 , 7 , 2 , 17 , 9 , 7 , 1 , 22 , 16 , 37 , 16 , 77 , 19 , 21 , 6 , 391 , 20 , 25 , 10 , 35 , 16 , 52 , 14 , 135 , 36 , 7 , 3 , 5 , - , 4 , - , 133 , 52 , 29 , 33 , 7 , 4 , 2 , 1 , 4 , - , 4 , 2 , 30 , 4 , 26 , 14 , - ,,
,081 Resto de enfermedades del sistema digestivo," 1,352 "," 1,036 ", 316 , 46 , 26 , 16 , 4 , 18 , 14 , 15 , 6 , 22 , 15 , 43 , 16 , 45 , 3 , 25 , 10 , 290 , 14 , 26 , 18 , 42 , 18 , 46 , 13 , 68 , 21 , 5 , 4 , 3 , 5 , 4 , 1 , 222 , 74 , 35 , 34 , 6 , 5 , - , 1 , 8 , 1 , 4 , - , 26 , 5 , 21 , 8 , - ,,
,082 Enfermedades de la piel y del tejido subcutáneo, 173 , 139 , 34 , 2 , 3 , 2 , - , - , - , 2 , - , 3 , 2 , 5 , 3 , 7 , - , 1 , - , 58 , 3 , 5 , 2 , 4 , 1 , 4 , 2 , 16 , 4 , - , 2 , - , - , - , - , 16 , 6 , 3 , 3 , 2 , - , 1 , - , - , 1 , - , - , 7 , - , 1 , 2 , - ,,
,083 Enfermedades del sis osteomusc y del tejido conjuntivo, 150 , 102 , 48 , 4 , 4 , 7 , 3 , 2 , 2 , - , - , 4 , 3 , 7 , - , 11 , 2 , 1 , 3 , 18 , 4 , 3 , 3 , 6 , 2 , 3 , 1 , 10 , 3 , - , 1 , - , 1 , - , - , 13 , 10 , 3 , 4 , - , - , - , - , 3 , - , - , - , 6 , 2 , 1 , - , - ,,
,"085 Enfermedades renales, glomerular y tubulointersticial", 52 , 44 , 8 , - , - , - , - , - , 1 , 1 , - , 3 , 1 , 1 , 1 , 3 , - , 2 , - , 10 , 1 , 1 , 1 , 2 , - , 4 , 1 , 5 , - , - , - , - , - , - , - , 7 , 2 , 1 , - , - , - , - , - , - , - , 1 , - , 1 , - , 2 , - , - ,,
,086 Resto de enfermedades del sistema genitourinario," 1,542 "," 1,225 ", 317 , 32 , 25 , 14 , 8 , 13 , 5 , 15 , 3 , 18 , 11 , 31 , 11 , 65 , 7 , 26 , 9 , 518 , 35 , 33 , 12 , 22 , 13 , 73 , 21 , 92 , 40 , 1 , 2 , 2 , - , 5 , 4 , 168 , 67 , 32 , 24 , 1 , - , 1 , - , 8 , 3 , 8 , 3 , 28 , 5 , 19 , 9 , - ,,
,092 Ciertas afecciones originadas en el periodo perinatal, 837 , 742 , 95 , 21 , 7 , 5 , 3 , 1 , 1 , 6 , 1 , 23 , 6 , 19 , 4 , 48 , 5 , 11 , - , 268 , 3 , 15 , - , 19 , 5 , 34 , 12 , 54 , 8 , 6 , 5 , 2 , 1 , 2 , - , 150 , 15 , 7 , 5 , 2 , 2 , 1 , - , 11 , 3 , 3 , 2 , 17 , 2 , 17 , 5 , - ,,
,093 Malformaciones congénitas  deformidades y anomal cromosom, 414 , 332 , 82 , 18 , 5 , 4 , 1 , 1 , - , 4 , - , 11 , 5 , 7 , 2 , 21 , 2 , 5 , 1 , 98 , 6 , 10 , 6 , 7 , 2 , 17 , 4 , 25 , 4 , 7 , 4 , 4 , 1 , - , 1 , 61 , 25 , 6 , 3 , - , 1 , - , - , 6 , 3 , 2 , 3 , 15 , 1 , 3 , 2 , - ,,
