,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.18 
Defunciones maternas, por causa de defuncion y edad de la mujer 
O62   Anormalidades de la dinámica del trabajo de parto, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
O72   Hemorragia postparto, 4 , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , 1 , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - ,
"O73   Retención de la placenta o de las membranas, sin hemorragia", 2 , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
"O75   Otras complicaciones del trabajo de parto y del parto, no clasificadas en otra parte", 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
O85   Sepsis puerperal, 3 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
O86   Otras infecciones puerperales, 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - ,
O88   Embolia obstétrica, 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,
O95   Muerte obstétrica de causa no especificada, 7 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , 1 , - , - , 1 , - , - , - , 2 , 1 , 1 , - , - , - , - , - , - , - , - ,
"O98   Enfermedades maternas infecciosas y parasitarias clasificables en otra parte, pero que complican el embarazo, el p", 35 , - , - , 1 , - , - , - , 1 , - , - , - , 2 , 2 , 2 , 3 , 1 , 2 , - , 1 , 3 , 4 , 2 , 3 , 3 , 1 , 2 , - , - , 1 , - , - , 1 ,
"O99   Otras enfermedades maternas clasificables en otra parte, pero que complican el embarazo, el parto y el puerperio", 29 , 2 , - , - , - , 1 , 1 , 4 , 2 , 1 , 2 , 2 , 2 , 1 , - , 1 , 3 , - , - , - , 1 , 1 , 1 , - , - , 2 , 2 , - , - , - , - , - ,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el año 2021, las mismas que están sujetos a ajustes por registros posteriores y porque aún no ha finalizado el proceso de Búsqueda Intencionada y Reclasificación  de Muerte Materna  - BIRMM, entre el INEC e MSP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
