,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie 1.1.7
Tasa de muertes según agrupamiento de causas (Lista corta de las principales causas de muerte Becker) 
6 Septicemia, 7.46 , 6.60 , 6.57 , 6.63 , 6.17 , 7.29 , 6.30 , 5.14 , 4.54 , 4.68 , 5.26 , 5.31 , 4.75 , 5.26 , 4.92 , 4.95 , 2.55 , 2.90 , 2.32 , 2.41 , 2.73 , 3.02 , 3.23 , 5.85 , 6.60 ,
7 Enfermedad por virus de la inmunodeficiencia (VIH), 1.30 , 1.51 , 1.88 , 1.96 , 2.79 , 3.05 , 3.17 , 3.65 , 4.50 , 5.01 , 4.56 , 4.69 , 4.78 , 4.84 , 4.34 , 4.57 , 4.91 , 5.19 , 4.93 , 4.73 , 5.05 , 4.88 , 4.59 , 3.44 , 3.27 ,
8 Neoplasia maligna del esófago, 0.84 , 0.78 , 0.71 , 0.79 , 0.68 , 0.67 , 0.65 , 0.62 , 0.77 , 0.79 , 0.50 , 0.70 , 0.67 , 0.60 , 0.55 , 0.77 , 0.67 , 0.70 , 0.69 , 0.70 , 0.83 , 0.62 , 0.70 , 0.74 , 0.70 ,
9 Neoplasia maligna del estómago, 12.32 , 12.10 , 12.01 , 10.91 , 11.46 , 11.27 , 11.00 , 10.95 , 11.03 , 11.43 , 11.34 , 11.50 , 11.03 , 10.44 , 10.74 , 11.08 , 10.06 , 9.94 , 9.28 , 10.06 , 9.69 , 10.01 , 9.97 , 10.15 , 9.80 ,
"10 Neoplasia maligna del colon, sigmoide, recto y ano", 2.15 , 2.26 , 2.28 , 2.57 , 2.50 , 2.33 , 2.55 , 2.96 , 2.94 , 3.39 , 3.36 , 3.52 , 3.24 , 4.11 , 4.27 , 4.18 , 3.84 , 4.25 , 4.53 , 4.94 , 4.97 , 5.07 , 5.22 , 5.25 , 5.46 ,
11 Neoplasia maligna del hígado y de las vías biliares, 4.51 , 4.13 , 4.44 , 4.41 , 3.85 , 3.93 , 3.87 , 4.23 , 4.65 , 4.66 , 4.26 , 4.31 , 4.45 , 4.62 , 4.53 , 4.54 , 4.10 , 4.07 , 4.39 , 4.25 , 4.09 , 4.55 , 5.08 , 4.32 , 4.63 ,
12 Neoplasia maligna de la vesícula biliar y de otras, 1.47 , 1.43 , 1.48 , 1.70 , 1.54 , 1.60 , 1.34 , 1.46 , 1.33 , 1.29 , 1.49 , 1.47 , 1.47 , 1.65 , 1.42 , 1.51 , 1.43 , 1.58 , 1.71 , 1.60 , 1.70 , 1.80 , 1.76 , 1.32 , 1.48 ,
13 Neoplasia maligna de páncreas, 1.53 , 1.79 , 1.97 , 1.97 , 1.83 , 1.96 , 2.12 , 1.89 , 2.03 , 1.92 , 2.27 , 2.05 , 2.16 , 2.28 , 2.35 , 2.35 , 2.06 , 2.10 , 2.38 , 2.52 , 2.89 , 2.70 , 2.97 , 2.87 , 3.03 ,
14 Neoplasia maligna de laringe, 0.50 , 0.42 , 0.43 , 0.38 , 0.41 , 0.22 , 0.34 , 0.37 , 0.33 , 0.31 , 0.30 , 0.26 , 0.34 , 0.37 , 0.38 , 0.39 , 0.31 , 0.40 , 0.36 , 0.39 , 0.42 , 0.42 , 0.30 , 0.37 , 0.29 ,
"15 Neoplasia maligna de la tráquea, bronquios y pulmón", 3.73 , 3.80 , 3.57 , 3.59 , 3.82 , 4.06 , 3.72 , 4.20 , 4.42 , 4.14 , 4.29 , 4.38 , 4.53 , 4.71 , 4.87 , 4.86 , 4.13 , 4.55 , 4.39 , 4.48 , 4.95 , 4.58 , 5.35 , 4.31 , 3.74 ,
16 Melanoma y otra neoplasia maligna de la piel, 0.66 , 0.73 , 0.80 , 0.73 , 0.66 , 0.59 , 0.68 , 0.79 , 0.79 , 0.69 , 0.75 , 0.94 , 0.94 , 1.22 , 1.27 , 1.05 , 1.24 , 1.17 , 1.27 , 1.46 , 1.44 , 1.77 , 1.70 , 1.59 , 1.44 ,
17 Neoplasia maligna de la mama, 2.09 , 2.22 , 2.41 , 2.31 , 2.49 , 2.19 , 2.51 , 2.30 , 2.46 , 2.96 , 2.50 , 2.76 , 3.03 , 3.15 , 2.74 , 3.34 , 3.32 , 3.31 , 3.41 , 3.90 , 4.01 , 4.31 , 4.44 , 4.30 , 4.28 ,
18 Neoplasia maligna del útero, 5.50 , 5.65 , 5.65 , 5.00 , 5.08 , 4.94 , 4.80 , 4.75 , 5.12 , 5.18 , 5.03 , 4.89 , 5.01 , 4.81 , 4.87 , 4.49 , 4.48 , 4.51 , 4.67 , 4.55 , 4.56 , 4.64 , 5.26 , 5.27 , 4.97 ,
19 Neoplasia maligna del ovario, 0.71 , 0.75 , 0.75 , 0.77 , 0.72 , 0.75 , 0.80 , 0.82 , 0.89 , 0.93 , 0.80 , 0.90 , 0.97 , 1.09 , 1.09 , 1.02 , 1.14 , 1.14 , 1.36 , 1.42 , 1.40 , 1.33 , 1.36 , 1.44 , 1.50 ,
20 Neoplasia maligna de la próstata, 3.69 , 4.35 , 4.06 , 4.63 , 4.13 , 3.86 , 4.17 , 4.69 , 4.61 , 5.06 , 5.06 , 5.30 , 5.56 , 5.78 , 5.61 , 5.66 , 5.39 , 5.25 , 5.77 , 5.92 , 5.49 , 5.73 , 6.03 , 7.14 , 6.49 ,
"21 Neoplasia maligna del riñón, excepto pelvis renal", 0.57 , 0.50 , 0.60 , 0.51 , 0.62 , 0.60 , 0.77 , 0.60 , 0.58 , 0.79 , 0.82 , 0.97 , 0.76 , 0.89 , 0.79 , 0.91 , 0.82 , 0.89 , 1.00 , 0.93 , 0.91 , 1.06 , 0.96 , 0.88 , 0.98 ,
22 Neoplasia maligna de la vejiga urinaria, 0.43 , 0.39 , 0.51 , 0.52 , 0.48 , 0.43 , 0.46 , 0.41 , 0.41 , 0.44 , 0.50 , 0.59 , 0.50 , 0.61 , 0.61 , 0.70 , 0.69 , 0.57 , 0.74 , 0.89 , 0.94 , 0.94 , 0.86 , 0.84 , 0.76 ,
23 Neoplasia maligna del encéfalo, 1.41 , 1.47 , 1.53 , 1.41 , 1.24 , 1.23 , 1.35 , 1.45 , 1.84 , 1.98 , 1.98 , 1.89 , 1.70 , 2.04 , 2.10 , 2.08 , 1.90 , 1.66 , 2.01 , 2.03 , 2.05 , 2.55 , 2.46 , 1.92 , 2.01 ,
"24 Neoplasia maligna del tejido linfático, hematopoyético y afinies", 5.25 , 4.97 , 4.90 , 5.23 , 4.95 , 4.85 , 4.87 , 5.79 , 5.88 , 5.70 , 5.41 , 5.85 , 6.00 , 6.45 , 6.60 , 6.64 , 7.00 , 6.80 , 7.33 , 7.39 , 7.71 , 7.87 , 8.40 , 6.81 , 6.74 ,
25 Neoplasias benignas in situ y de comportamiento incierto, 1.28 , 1.30 , 1.33 , 1.83 , 1.59 , 1.46 , 1.41 , 1.17 , 1.06 , 1.57 , 1.65 , 1.64 , 2.73 , 2.03 , 2.34 , 2.31 , 3.29 , 4.27 , 3.66 , 3.27 , 3.59 , 4.01 , 4.98 , 5.44 , 5.30 ,
26 Diabetes Mellitus, 16.16 , 15.39 , 17.79 , 20.21 , 19.51 , 17.95 , 18.27 , 19.72 , 20.37 , 21.30 , 23.15 , 24.25 , 27.59 , 26.76 , 29.18 , 29.83 , 30.17 , 27.71 , 28.23 , 29.93 , 29.44 , 27.80 , 28.58 , 45.83 , 31.34 ,
27 Desnutrición y anemias nutricionales, 9.11 , 9.87 , 7.49 , 9.09 , 8.00 , 7.13 , 5.86 , 5.33 , 5.36 , 5.28 , 4.42 , 4.47 , 3.30 , 3.82 , 3.99 , 3.25 , 3.29 , 3.88 , 3.92 , 4.16 , 3.44 , 3.07 , 2.87 , 3.52 , 2.95 ,
"28 Trastornos de los líquidos, electrolitos, y del equilibrio ácido básico", 2.02 , 2.80 , 1.71 , 1.33 , 1.12 , 1.04 , 1.01 , 1.87 , 1.11 , 1.58 , 1.19 , 1.08 , 0.73 , 0.70 , 0.71 , 0.83 , 0.93 , 0.90 , 0.88 , 0.96 , 1.03 , 1.06 , 1.06 , 2.10 , 1.76 ,
29 Demencia y enfermedad de Alzheimer, 0.36 , 0.48 , 0.46 , 0.67 , 0.66 , 0.48 , 0.75 , 0.74 , 0.79 , 0.95 , 1.13 , 1.13 , 1.53 , 1.42 , 2.07 , 2.20 , 2.08 , 2.29 , 2.72 , 3.16 , 3.20 , 3.38 , 3.85 , 4.53 , 3.94 ,
30 Trastornos mentales y del comportamiento por uso de sustancias psicoactivas, 1.79 , 1.63 , 1.67 , 2.11 , 2.26 , 1.83 , 2.03 , 1.85 , 1.86 , 1.45 , 1.53 , 1.06 , 1.33 , 1.41 , 1.62 , 1.28 , 1.16 , 0.80 , 0.44 , 0.29 , 0.21 , 0.27 , 0.33 , 0.45 , 0.45 ,
31 Enfermedad de Parkinson, 0.51 , 0.63 , 0.62 , 0.82 , 0.61 , 0.41 , 0.46 , 0.69 , 0.90 , 0.84 , 0.96 , 0.97 , 1.00 , 1.02 , 1.13 , 0.97 , 1.16 , 1.02 , 1.16 , 1.32 , 1.37 , 1.35 , 1.39 , 1.55 , 1.37 ,
32 Epilepsia y estado de mal epiléptico, 2.45 , 2.32 , 2.33 , 2.19 , 1.83 , 1.65 , 1.27 , 1.58 , 1.63 , 1.59 , 1.56 , 1.45 , 1.19 , 1.29 , 1.24 , 1.29 , 1.10 , 1.26 , 1.24 , 1.67 , 1.44 , 1.48 , 1.43 , 1.66 , 1.58 ,
33 Enfermedades cardíacas reumáticas crónicas, 0.65 , 0.59 , 0.60 , 0.55 , 0.56 , 0.37 , 0.38 , 0.33 , 0.31 , 0.60 , 0.53 , 0.38 , 0.47 , 0.49 , 0.38 , 0.47 , 0.61 , 0.62 , 0.58 , 0.54 , 0.53 , 0.44 , 0.32 , 0.38 , 0.40 ,
34 Enfermedades hipertensivas, 18.61 , 18.30 , 15.30 , 19.85 , 15.57 , 14.53 , 16.48 , 18.26 , 20.68 , 19.81 , 21.44 , 22.56 , 21.43 , 28.70 , 28.70 , 34.57 , 26.97 , 22.51 , 21.51 , 21.22 , 20.50 , 19.68 , 19.08 , 30.44 , 23.00 ,
35 Enfermedades isquémicas del corazón, 16.57 , 18.91 , 20.09 , 18.55 , 18.54 , 19.64 , 17.24 , 16.97 , 18.29 , 18.83 , 19.60 , 19.07 , 15.56 , 13.31 , 13.19 , 13.32 , 19.09 , 28.08 , 31.38 , 39.86 , 44.68 , 46.79 , 50.25 , 90.68 , 73.25 ,
36 Enfermedad cardiopulmonar y enfermedad de la circulación pulmonar, 3.78 , 3.43 , 3.95 , 3.43 , 3.14 , 2.99 , 2.79 , 3.12 , 3.54 , 3.49 , 2.91 , 2.64 , 2.92 , 2.92 , 2.69 , 2.86 , 2.38 , 2.17 , 1.32 , 1.40 , 1.49 , 1.79 , 1.86 , 2.22 , 1.94 ,
37 Trastornos valvulares no reumáticos, 0.40 , 0.55 , 0.56 , 0.45 , 0.47 , 0.49 , 0.41 , 0.29 , 0.51 , 0.57 , 0.61 , 0.59 , 0.73 , 0.75 , 0.63 , 0.60 , 0.91 , 0.90 , 1.11 , 1.01 , 1.08 , 0.93 , 0.96 , 0.86 , 1.28 ,
38 Cardiomiopatía, 0.14 , 0.18 , 0.17 , 0.59 , 0.21 , 0.10 , 0.59 , 0.74 , 1.11 , 1.35 , 1.68 , 1.15 , 0.92 , 0.77 , 0.89 , 0.82 , 0.84 , 0.60 , 0.88 , 0.84 , 0.85 , 0.79 , 0.66 , 0.82 , 0.86 ,
39 Paro cardíaco, 5.62 , 9.62 , 7.16 , 6.31 , 5.46 , 6.22 , 8.86 , 4.60 , 4.01 , 4.07 , 3.45 , 5.60 , 3.11 , 3.77 , 1.57 , 2.29 , 2.99 , 0.66 , 0.58 , -   , 0.11 , 0.01 , 0.30 , 0.79 , 0.40 ,
40 Arritmias cardíacas, 1.15 , 0.89 , 1.17 , 1.37 , 1.18 , 0.87 , 0.95 , 1.06 , 1.25 , 1.22 , 1.30 , 1.04 , 1.02 , 0.97 , 0.90 , 1.49 , 1.14 , 1.05 , 1.28 , 1.53 , 1.85 , 2.30 , 2.26 , 2.52 , 2.00 ,
"41 Insuficiencia cardíaca, complicaciones y enfermedades mal definidas", 19.25 , 21.13 , 24.57 , 22.19 , 24.77 , 26.38 , 22.21 , 19.38 , 17.27 , 18.25 , 16.38 , 16.01 , 12.94 , 12.32 , 11.12 , 11.76 , 11.05 , 8.31 , 6.39 , 5.89 , 6.48 , 6.60 , 6.79 , 8.12 , 7.77 ,
42 Enfermedades cerebrovasculares, 19.43 , 20.94 , 23.45 , 21.83 , 22.81 , 23.72 , 21.84 , 21.76 , 22.28 , 22.68 , 22.09 , 23.55 , 25.71 , 21.78 , 25.74 , 21.20 , 22.97 , 23.83 , 25.38 , 26.18 , 25.89 , 26.43 , 26.68 , 29.47 , 28.72 ,
43 Aterosclerosis, 1.50 , 1.74 , 2.16 , 2.11 , 1.76 , 1.40 , 1.33 , 1.20 , 1.65 , 1.65 , 1.59 , 1.02 , 1.39 , 1.67 , 1.15 , 0.84 , 1.09 , 0.38 , 0.25 , 0.17 , 0.20 , 0.19 , 0.20 , 0.24 , 0.14 ,
44 Aneurisma y disección aórticos, 0.47 , 0.51 , 0.44 , 0.46 , 0.44 , 0.39 , 0.44 , 0.41 , 0.51 , 0.54 , 0.56 , 0.54 , 0.70 , 0.80 , 0.79 , 0.72 , 0.86 , 0.80 , 0.84 , 0.85 , 0.80 , 0.83 , 0.89 , 1.05 , 1.01 ,
45 Enfermedades respiratorias agudas excepto influenza y neumonía, 2.78 , 2.64 , 2.63 , 2.43 , 2.19 , 1.75 , 1.61 , 1.62 , 1.24 , 1.10 , 0.93 , 0.88 , 1.04 , 0.77 , 0.66 , 0.83 , 0.60 , 0.49 , 0.53 , 0.57 , 0.61 , 0.43 , 0.45 , 1.10 , 0.37 ,
46 Influenza y neumonía, 22.07 , 22.01 , 21.26 , 19.28 , 19.57 , 20.85 , 18.36 , 22.33 , 20.10 , 22.11 , 21.31 , 22.02 , 21.43 , 22.48 , 20.21 , 23.25 , 24.11 , 21.52 , 20.26 , 21.03 , 22.95 , 24.50 , 24.04 , 40.23 , 24.52 ,
47 Enfermedades crónicas de las vías respiratorias inferiores, 6.88 , 6.70 , 7.36 , 6.80 , 6.45 , 5.81 , 5.90 , 6.71 , 7.09 , 7.64 , 7.54 , 8.08 , 8.10 , 8.05 , 8.25 , 8.74 , 9.19 , 10.44 , 10.41 , 11.05 , 11.02 , 10.61 , 10.85 , 10.68 , 8.63 ,
48 Edema pulmonar y otras enfermedades respiratorias que afectan al intersticio, 3.81 , 2.48 , 3.93 , 3.07 , 3.93 , 3.75 , 3.27 , 3.77 , 2.97 , 2.49 , 2.77 , 3.28 , 2.89 , 3.92 , 3.60 , 4.56 , 3.87 , 4.46 , 5.24 , 5.00 , 6.01 , 5.80 , 6.25 , 6.10 , 7.83 ,
49 Insuficiencia respiratoria, 3.20 , 3.05 , 3.82 , 3.45 , 4.67 , 6.77 , 4.14 , 3.51 , 2.16 , 1.63 , 1.60 , 1.20 , 0.75 , 0.67 , 0.90 , 0.98 , 1.10 , 0.57 , 0.41 , 0.37 , 0.59 , 0.82 , 0.78 , 5.34 , 3.66 ,
"50 Apendicitis, hernia y obstrucción intestinal", 2.42 , 2.43 , 2.57 , 2.58 , 2.61 , 2.13 , 2.14 , 2.05 , 2.23 , 2.23 , 1.86 , 1.75 , 2.10 , 2.46 , 1.91 , 1.89 , 2.01 , 2.39 , 2.33 , 2.21 , 2.36 , 2.38 , 2.13 , 2.05 , 2.37 ,
51 Cirrosis y otras enfermedades del hígado, 11.80 , 12.12 , 11.89 , 11.45 , 11.36 , 10.38 , 10.59 , 12.21 , 12.97 , 13.13 , 12.77 , 12.38 , 12.91 , 12.88 , 13.08 , 13.92 , 12.89 , 12.88 , 13.96 , 14.21 , 14.15 , 14.06 , 14.05 , 13.48 , 13.98 ,
52 Enfermedades del sistema osteomuscular y tejido conjuntivo, 0.82 , 0.89 , 0.79 , 0.91 , 1.01 , 0.79 , 0.92 , 1.14 , 1.34 , 1.28 , 1.42 , 1.32 , 1.74 , 1.79 , 1.60 , 1.49 , 2.15 , 2.44 , 2.52 , 2.36 , 2.50 , 2.10 , 2.13 , 2.76 , 2.77 ,
53 Enfermedades del sistema urinario, 13.06 , 13.51 , 12.94 , 12.68 , 11.87 , 13.72 , 13.40 , 13.53 , 12.92 , 11.79 , 12.47 , 12.17 , 9.70 , 10.60 , 11.50 , 11.22 , 12.03 , 10.77 , 11.08 , 11.23 , 11.12 , 11.18 , 12.15 , 15.84 , 15.14 ,
"54 Embarazo, parto y puerperio", 1.38 , 1.28 , 1.71 , 1.85 , 1.46 , 1.14 , 1.04 , 0.95 , 1.04 , 0.97 , 1.24 , 1.14 , 1.41 , 1.35 , 1.58 , 1.32 , 1.01 , 1.05 , 1.12 , 0.94 , 1.26 , 1.31 , 1.32 , 1.24 , 1.07 ,
55 Ciertas afecciones originadas en el período prenatal, 17.93 , 17.80 , 18.36 , 17.96 , 15.92 , 14.37 , 13.66 , 14.06 , 13.10 , 12.90 , 12.16 , 11.17 , 10.39 , 10.78 , 10.72 , 9.75 , 8.92 , 8.41 , 9.11 , 9.53 , 9.87 , 10.33 , 10.16 , 7.60 , 8.46 ,
"56 Malformaciones congénitas, deformidades y anomalías cromosómicas", 4.66 , 4.22 , 4.73 , 4.89 , 4.53 , 3.90 , 3.62 , 3.71 , 4.04 , 4.42 , 4.77 , 4.45 , 5.59 , 4.62 , 4.69 , 4.96 , 5.86 , 5.36 , 6.22 , 6.10 , 6.62 , 6.67 , 6.35 , 4.39 , 4.50 ,
57 Accidentes de transporte terrestre, 17.10 , 17.01 , 14.72 , 16.29 , 14.82 , 14.96 , 15.09 , 13.60 , 17.34 , 18.05 , 18.68 , 18.59 , 21.55 , 22.01 , 21.95 , 20.46 , 19.94 , 19.35 , 19.18 , 17.78 , 18.39 , 18.87 , 18.90 , 14.49 , 18.47 ,
58 Caidas accidentales, 3.13 , 3.34 , 3.54 , 2.55 , 2.49 , 2.23 , 2.40 , 2.72 , 3.65 , 3.54 , 3.02 , 2.81 , 2.90 , 2.82 , 2.79 , 3.02 , 2.72 , 2.36 , 2.98 , 3.58 , 2.25 , 3.52 , 3.69 , 2.50 , 1.73 ,
59 Disparo de arma de fuego no intencional, 0.52 , 0.21 , 0.51 , 0.25 , 0.20 , 0.12 , 0.13 , 0.10 , 0.13 , 0.08 , 0.04 , 0.07 , 0.07 , 0.35 , 0.16 , 0.07 , 0.32 , 0.11 , 0.11 , 0.05 , 0.04 , 0.06 , 0.04 , 0.28 , 0.03 ,
60 Ahogamiento y sumersión accidentales, 4.68 , 5.50 , 3.50 , 3.16 , 3.46 , 3.59 , 3.96 , 3.45 , 2.74 , 3.76 , 3.13 , 3.35 , 2.82 , 2.92 , 2.44 , 3.12 , 2.14 , 1.90 , 2.49 , 2.29 , 1.70 , 2.18 , 2.10 , 1.63 , 1.85 ,
61 Accidentes que obstruyen la respiración, 1.72 , 1.46 , 1.75 , 1.43 , 1.15 , 0.99 , 1.10 , 0.94 , 1.22 , 1.51 , 1.24 , 1.92 , 2.14 , 1.84 , 2.04 , 2.21 , 2.43 , 2.22 , 2.77 , 2.59 , 2.40 , 2.72 , 2.94 , 2.46 , 2.03 ,
62 Envenenamiento accidental, 1.67 , 2.02 , 1.84 , 1.55 , 1.04 , 1.23 , 1.16 , 1.15 , 1.19 , 1.02 , 0.91 , 1.12 , 0.74 , 0.74 , 1.02 , 0.52 , 0.53 , 0.77 , 0.84 , 1.34 , 0.97 , 1.47 , 1.53 , 1.43 , 1.15 ,
63 Lesiones autoinflingidas intencionalmente (Suicidio), 4.95 , 4.58 , 5.03 , 4.29 , 4.57 , 4.42 , 5.07 , 5.87 , 6.87 , 6.44 , 7.08 , 6.42 , 6.55 , 6.08 , 6.02 , 6.29 , 4.40 , 4.69 , 6.66 , 7.46 , 7.16 , 7.17 , 7.03 , 6.22 , 4.96 ,
64 Agresiones (Homicidios), 12.57 , 15.30 , 14.96 , 16.65 , 15.50 , 15.73 , 13.30 , 17.08 , 17.56 , 16.88 , 16.19 , 17.13 , 14.84 , 15.52 , 13.79 , 10.99 , 8.33 , 6.68 , 6.12 , 5.69 , 5.69 , 5.86 , 7.21 , 6.16 , 7.50 ,
65 Eventos de intención no determinada, 5.95 , 4.02 , 6.54 , 7.72 , 6.20 , 4.22 , 2.60 , 0.96 , 1.35 , 1.33 , 0.86 , 3.48 , 4.65 , 5.80 , 5.50 , 3.72 , 6.70 , 8.37 , 3.81 , 1.03 , 2.06 , 1.11 , 1.43 , 3.08 , 9.28 ,
"COVID-19, virus identificado", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 88.87 , 93.57 ,
"COVID-19, virus no identificado", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 47.74 , 24.02 ,
88 Resto de causas, 41.98 , 43.18 , 41.08 , 39.21 , 39.14 , 37.71 , 35.35 , 36.22 , 37.08 , 36.03 , 36.14 , 38.35 , 35.70 , 35.70 , 35.86 , 36.53 , 41.43 , 37.07 , 37.85 , 43.52 , 40.26 , 40.83 , 41.44 , 48.90 , 49.91 ,
99 Causas mal definidas, 61.16 , 58.91 , 62.66 , 59.20 , 54.27 , 54.61 , 50.40 , 46.95 , 49.51 , 45.34 , 42.54 , 41.15 , 39.59 , 38.54 , 38.26 , 36.23 , 35.72 , 36.41 , 34.97 , 30.38 , 29.93 , 27.92 , 24.68 , 29.06 , 23.08 ,
"1/ Defunciones registrados en el año (t+1):  corresponden a las defunciones generales ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre del año siguiente. Cabe mencionar que se ha realizado el ajuste desde el año 2013. ",,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el 2020, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,
"2/ Lista corta de las principales causas de muerte Becker, recomendada por OMS",,,,,,,,,,,,,,,,,,,,,,,,,,
* Incluye muertes maternas oportunas y tardías.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: Registro estadístico de defunciones generales, años 1997-2021.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
