,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.4 
Defunciones en el año (t) de  personas de doce años y más de edad, por estado civil y sexo, según grupos de edad
45 a 49 años," 3,644 "," 2,286 "," 1,358 "," 1,582 ", 984 , 598 ," 1,491 ", 942 , 549 , 342 , 229 , 113 , 70 , 29 , 41 , 26 , 20 , 6 , 39 , 24 , 15 , 5 , 4 , 1 , 89 , 54 , 35 ,
50 a 54 años," 4,799 "," 2,931 "," 1,868 "," 1,764 "," 1,035 ", 729 ," 2,241 "," 1,413 ", 828 , 442 , 292 , 150 , 145 , 50 , 95 , 29 , 18 , 11 , 47 , 34 , 13 , 5 , 5 , - , 126 , 84 , 42 ,
55 a 59 años," 6,439 "," 3,820 "," 2,619 "," 2,126 "," 1,214 ", 912 ," 3,114 "," 1,924 "," 1,190 ", 647 , 403 , 244 , 275 , 105 , 170 , 34 , 27 , 7 , 56 , 30 , 26 , 14 , 11 , 3 , 173 , 106 , 67 ,
60 a 64 años," 8,261 "," 4,772 "," 3,489 "," 2,596 "," 1,438 "," 1,158 "," 4,134 "," 2,510 "," 1,624 ", 737 , 468 , 269 , 498 , 179 , 319 , 38 , 24 , 14 , 40 , 23 , 17 , 10 , 8 , 2 , 208 , 122 , 86 ,
65 a 69 años," 9,594 "," 5,538 "," 4,056 "," 2,786 "," 1,453 "," 1,333 "," 4,680 "," 3,010 "," 1,670 ", 846 , 519 , 327 , 901 , 312 , 589 , 48 , 42 , 6 , 58 , 37 , 21 , 13 , 10 , 3 , 262 , 155 , 107 ,
70 a 74 años," 10,323 "," 5,915 "," 4,408 "," 2,827 "," 1,445 "," 1,382 "," 5,041 "," 3,317 "," 1,724 ", 720 , 419 , 301 ," 1,346 ", 476 , 870 , 46 , 42 , 4 , 52 , 35 , 17 , 9 , 8 , 1 , 282 , 173 , 109 ,
75 a 79 años," 10,608 "," 6,053 "," 4,555 "," 2,857 "," 1,469 "," 1,388 "," 4,879 "," 3,317 "," 1,562 ", 604 , 358 , 246 ," 1,922 ", 694 ," 1,228 ", 38 , 33 , 5 , 42 , 31 , 11 , 5 , 4 , 1 , 261 , 147 , 114 ,
80 a 84 años," 10,865 "," 5,944 "," 4,921 "," 2,867 "," 1,352 "," 1,515 "," 4,525 "," 3,235 "," 1,290 ", 491 , 257 , 234 ," 2,672 ", 921 ," 1,751 ", 23 , 19 , 4 , 42 , 27 , 15 , 5 , 3 , 2 , 240 , 130 , 110 ,
85 y más años," 22,961 "," 10,591 "," 12,370 "," 5,756 "," 2,120 "," 3,636 "," 7,019 "," 4,925 "," 2,094 ", 694 , 319 , 375 ," 8,962 "," 2,961 "," 6,001 ", 34 , 29 , 5 , 36 , 22 , 14 , 5 , 4 , 1 , 455 , 211 , 244 ,
Sin información, 8 , 6 , 2 , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 7 , 5 , 2 ,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
