,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.13
Defunciones oportunas femeninas, por  provincia y área de residencia habitual del fallecido/a, según causas de muerte
017 Ot fieb virals transm. por artropod y fieb. hemorr. vir., 23 , 21 , 2 , 1 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , 3 , - , 8 , 1 , - , - , - , - , 3 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , 2 , 1 , - ,,
019 Hepatitis viral, 3 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
020 Enf por virus de la inmunodeficiencia humana (VIH), 137 , 119 , 18 , 3 , - , - , - , 2 , - , - , - , - , 1 , 1 , - , 6 , - , 7 , 5 , 63 , 3 , - , - , 1 , - , 13 , 2 , 7 , - , - , 1 , - , - , - , - , 7 , 3 , 3 , 1 , - , - , 1 , - , 1 , - , 1 , - , 3 , 2 , - , - , - ,,
021 Paludismo (Malaria), 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
023 Tripanosomiasis, 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
025 Resto de ciertas enfermedades infecciosas y parasitarias, 112 , 92 , 20 , 3 , 2 , 1 , - , 2 , - , - , - , 8 , 5 , 2 , 1 , 3 , - , 4 , - , 35 , 3 , - , - , 1 , - , 5 , - , 2 , - , 3 , - , - , - , - , - , 18 , 8 , - , - , - , 1 , - , - , 1 , - , 1 , - , 2 , - , 1 , - , - ,,
027 Tumor maligno del labio de la cavidad bucal y de la faringe, 70 , 55 , 15 , 2 , 2 , - , - , 1 , - , - , - , 1 , - , - , - , 3 , 1 , - , 1 , 28 , - , 1 , 2 , 3 , 1 , 2 , - , 2 , 1 , - , - , - , - , - , - , 9 , 3 , 2 , 2 , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , - ,,
028 Tumor maligno del esófago, 36 , 22 , 14 , - , - , - , - , - , 1 , 2 , 1 , 1 , 2 , 1 , - , - , - , - , 1 , 5 , 2 , - , - , - , - , 1 , - , 3 , - , - , 1 , - , - , - , 1 , 6 , 1 , 3 , 3 , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,
029 Tumor maligno del estomago, 753 , 542 , 211 , 26 , 32 , 13 , 3 , 14 , 7 , 3 , - , 24 , 20 , 15 , 20 , 24 , 2 , 12 , 4 , 149 , 10 , 29 , 7 , 21 , 17 , 31 , 3 , 38 , 13 , 2 , - , 2 , - , 2 , 2 , 84 , 46 , 21 , 15 , 4 , 2 , - , - , 2 , - , 1 , 2 , 10 , 2 , 15 , 4 , - ,,
030 Tumor maligno del colon  del recto y del ano, 521 , 415 , 106 , 18 , 14 , 2 , 4 , 2 , 5 , 6 , 1 , 9 , - , 13 , 1 , 23 , 3 , 7 , 5 , 132 , 10 , 14 , 4 , 16 , 4 , 12 , 11 , 44 , 5 , - , - , - , 2 , 2 , - , 85 , 27 , 11 , 6 , - , 1 , - , - , 1 , - , 1 , - , 11 , 2 , 6 , 1 , - ,,
031 Tumor maligno del hígado y de las vías biliares intrahepat, 435 , 324 , 111 , 15 , 12 , 2 , 3 , 3 , 1 , 2 , 2 , 8 , 3 , 11 , 8 , 19 , 8 , 4 , 2 , 89 , 1 , 13 , 7 , 12 , 6 , 14 , 2 , 47 , 6 , 2 , 1 , 2 , - , 3 , - , 48 , 29 , 12 , 9 , - , 2 , - , - , 4 , 1 , - , 1 , 9 , 3 , 5 , 4 , - ,,
032 Tumor maligno del páncreas, 287 , 217 , 70 , 17 , 8 , 6 , - , 4 , - , 4 , 1 , 4 , 2 , 6 , 2 , 6 , 1 , 3 , 1 , 60 , 4 , 7 , 7 , 8 , 1 , 5 , 2 , 12 , 5 , 2 , - , - , 1 , - , - , 56 , 31 , 9 , 4 , 1 , - , - , - , 2 , - , - , - , 3 , - , 2 , - , - ,,
033 Tumor maligno de la laringe, 8 , 6 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , 1 , - , - , 1 , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - ,,
034 Tumor maligno de la tráquea de los bronquios y del pulmón, 306 , 239 , 67 , 11 , 6 , 7 , 2 , 8 , 2 , 2 , - , 3 , 2 , 3 , 1 , 6 , - , 5 , - , 67 , - , 8 , 4 , 7 , 3 , 10 , 4 , 19 , 7 , 2 , - , 2 , - , 1 , - , 54 , 27 , 7 , 3 , 1 , - , - , - , 3 , 1 , 1 , - , 7 , 3 , 5 , 2 , - ,,
035 Melanoma maligno de la piel, 47 , 31 , 16 , 5 , 2 , 1 , - , - , - , - , 1 , 2 , 3 , 1 , - , 1 , - , - , - , 6 , - , - , 3 , 1 , - , - , - , 2 , - , - , - , - , - , - , - , 11 , 5 , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
036 Tumor maligno de la mama, 759 , 628 , 131 , 24 , 4 , 4 , 2 , 5 , - , 7 , 3 , 12 , 2 , 18 , 2 , 17 , 2 , 15 , 4 , 215 , 6 , 17 , 5 , 21 , 7 , 28 , 6 , 66 , 13 , - , 3 , 2 , - , 1 , 2 , 135 , 52 , 12 , 8 , 1 , 1 , - , - , 4 , 2 , 3 , 2 , 17 , 3 , 4 , 2 , - ,,
037 Tumor maligno del cuello del útero, 505 , 377 , 128 , 9 , 7 , 8 , 3 , 4 , 2 , 10 , 2 , 10 , 14 , 14 , 5 , 12 , 4 , 13 , 6 , 92 , 7 , 15 , 12 , 13 , 7 , 19 , 6 , 28 , 5 , 5 , - , 4 , 2 , 2 , 1 , 72 , 30 , 11 , 7 , - , - , - , 1 , 6 , 3 , 6 , 1 , 20 , 2 , 3 , 1 , 1 ,,
038 Tumor maligno de las partes y de las no especificadas del útero, 376 , 288 , 88 , 19 , 15 , 4 , 1 , - , 1 , 4 , - , 1 , 1 , 5 , 1 , 17 , 4 , 7 , 2 , 117 , 17 , 6 , 4 , 12 , 2 , 13 , 6 , 21 , 9 , 3 , - , 2 , - , - , - , 28 , 17 , 9 , 5 , - , - , - , - , 1 , 1 , - , - , 12 , - , 7 , 2 , - ,,
039 Tumor maligno del ovario, 266 , 196 , 70 , 4 , 5 , 1 , - , 1 , 1 , 3 , 3 , 6 , 1 , 10 , 2 , 6 , 1 , 4 , 3 , 60 , 3 , 7 , 1 , 9 , 6 , 5 , - , 19 , 7 , - , 1 , 1 , 1 , - , 2 , 37 , 18 , 6 , 9 , - , - , - , - , 2 , 1 , 1 , - , 8 , 3 , 6 , 2 , - ,,
041 Tumor maligno de la vejiga urinaria, 49 , 38 , 11 , 2 , 1 , 1 , - , - , 1 , 1 , - , - , - , 2 , 1 , 2 , 1 , - , - , 12 , - , 2 , - , - , - , 2 , - , 6 , 1 , - , - , - , - , - , - , 7 , 4 , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - ,,
"042 Tumor maligno de la mening, del encefalo y de otras partes del snc", 179 , 139 , 40 , 7 , 7 , - , - , 3 , - , 1 , 2 , 2 , 3 , 4 , 2 , 10 , 1 , 3 , 1 , 41 , - , 8 , 6 , 4 , 3 , 9 , - , 13 , - , 1 , - , - , - , 1 , - , 21 , 10 , 4 , 5 , - , - , - , - , 2 , - , 1 , - , 3 , - , 1 , - , - ,,
043 Linfoma no Hodgkin, 175 , 129 , 46 , 7 , 4 , 2 , 1 , 2 , 2 , 4 , 1 , 5 , - , 8 , 4 , 6 , 1 , 2 , - , 27 , 2 , 3 , 4 , 1 , 1 , 2 , - , 11 , 3 , 1 , - , - , - , 2 , - , 38 , 16 , 4 , 3 , - , 1 , - , - , - , - , 2 , - , 2 , 2 , - , 1 , - ,,
044 Mieloma multiple y tumores malignos de célula plasmáticas, 61 , 48 , 13 , 5 , 2 , - , - , - , 1 , - , - , 1 , - , 2 , - , 2 , - , 1 , - , 10 , 2 , 3 , 1 , 1 , - , - , - , 6 , 2 , 1 , - , - , - , - , - , 13 , 4 , 2 , - , - , - , - , - , - , 1 , - , - , - , - , 1 , - , - ,,
045 Leucemia, 277 , 208 , 69 , 11 , 11 , 1 , - , 3 , 4 , - , 2 , 2 , 5 , 5 , 1 , 6 , 2 , 9 , 1 , 53 , 4 , 6 , 5 , 6 , 4 , 12 , 3 , 19 , 4 , 3 , - , 1 , 1 , 2 , 1 , 47 , 16 , 7 , 4 , - , - , - , - , - , 1 , - , - , 10 , - , 5 , - , - ,,
046 Resto de tumores malignos," 1,085 ", 806 , 279 , 56 , 36 , 10 , 4 , 11 , 5 , 13 , 4 , 21 , 16 , 32 , 21 , 44 , 9 , 13 , 4 , 196 , 5 , 18 , 16 , 36 , 12 , 35 , 6 , 58 , 11 , 6 , 2 , 4 , - , 2 , 2 , 173 , 81 , 24 , 31 , 5 , 3 , 2 , - , 14 , 2 , 5 , 1 , 18 , 2 , 10 , 6 , - ,,
047 Resto de tumores, 459 , 368 , 91 , 16 , 9 , 4 , 1 , 7 , 4 , 2 , 3 , 4 , 4 , 5 , 3 , 14 , 2 , 12 , 6 , 137 , 5 , 7 , 5 , 11 , 4 , 23 , 7 , 31 , 3 , 1 , - , 1 , - , 2 , - , 54 , 19 , 13 , 8 , - , - , 1 , - , 5 , 1 , 2 , - , 10 , 2 , 6 , 5 , - ,,
049 Anemias, 207 , 153 , 54 , 6 , 5 , 5 , 3 , 1 , 3 , 2 , - , 2 , 1 , 1 , 1 , 10 , 4 , 1 , 4 , 42 , 3 , 2 , 2 , 6 , 5 , 16 , 7 , 22 , 4 , - , - , - , - , 1 , - , 18 , 7 , 5 , 2 , 1 , - , - , - , 1 , - , 1 , - , 2 , 1 , 8 , 2 , - ,,
050 Resto de enfermedades de la sangre y organos hematopoyéticos y otros transtornos que afectan al mecanismo inmunoló, 64 , 55 , 9 , 2 , 2 , 2 , - , 1 , - , 1 , - , 2 , - , 4 , - , 5 , - , - , - , 12 , - , 1 , 1 , 2 , - , 4 , - , 3 , - , - , - , - , - , - , - , 15 , 4 , - , 2 , - , - , - , - , - , - , - , - , 1 , - , - , - , - ,,
052 Diabetes mellitus," 2,930 "," 2,352 ", 578 , 63 , 37 , 30 , 7 , 32 , 15 , 18 , 11 , 36 , 16 , 51 , 10 , 137 , 18 , 67 , 31 , 894 , 82 , 34 , 21 , 53 , 34 , 194 , 40 , 277 , 96 , 5 , 7 , 4 , 3 , 7 , 1 , 224 , 72 , 42 , 21 , 8 , 1 , 1 , - , 23 , 3 , 5 , 1 , 78 , 23 , 69 , 28 , - ,,
053 Desnutrición, 179 , 123 , 56 , 6 , 6 , 5 , 1 , 2 , - , 1 , 3 , 6 , 9 , 5 , 10 , 6 , 1 , 1 , 1 , 34 , - , 3 , 6 , 2 , 1 , 5 , 3 , 19 , 1 , - , 1 , - , - , 1 , 2 , 19 , 6 , 3 , 3 , - , - , - , - , - , - , 1 , 1 , 4 , - , - , 1 , - ,,
"054 Resto de enferm.endocrinas, nutricionales y metabólicas", 371 , 277 , 94 , 7 , 14 , 6 , 3 , 1 , 2 , 14 , 3 , 7 , 2 , 12 , 6 , 14 , 2 , 3 , 5 , 66 , 5 , 8 , 3 , 16 , 3 , 17 , 3 , 34 , 10 , 4 , 2 , - , - , - , - , 43 , 19 , 5 , 6 , - , - , - , - , 1 , 4 , 4 , 1 , 6 , - , 9 , 1 , - ,,
056 Transtornos mentales y del comportamiento debido al uso de sustancias psicoactivas, 2 , 1 , 1 , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
057 Resto de trastornos mentales y del comportamiento, 101 , 71 , 30 , 7 , 3 , - , 1 , - , - , 1 , 1 , - , 1 , 2 , 1 , - , - , 3 , 1 , 7 , - , 4 , - , 5 , - , 2 , 1 , 4 , 1 , 1 , 1 , - , - , - , - , 30 , 18 , 2 , 1 , - , - , - , - , 1 , - , - , - , 2 , - , - , - , - ,,
059 Meningitis, 21 , 15 , 6 , 2 , 1 , 1 , - , - , 1 , - , - , 1 , - , - , 1 , 2 , - , 1 , - , 4 , - , - , 1 , 2 , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - ,,
060 Enfermedad de Alzheimer, 341 , 261 , 80 , 9 , 6 , 7 , 2 , 5 , - , - , 1 , 5 , 1 , 6 , - , 11 , 1 , 6 , 1 , 55 , 3 , 10 , 9 , 8 , 5 , 11 , 5 , 25 , 5 , - , - , - , - , - , 1 , 81 , 34 , 8 , 5 , 2 , - , 1 , - , 1 , - , 1 , - , 4 , 1 , 5 , - , - ,,
061 Resto de enfermedades del sistema nervioso, 541 , 392 , 149 , 27 , 10 , 8 , 3 , 5 , 4 , 7 , 3 , 6 , 5 , 11 , 6 , 17 , 1 , 7 , 5 , 102 , 6 , 9 , 6 , 17 , 19 , 22 , 7 , 40 , 14 , 2 , 1 , 3 , 2 , - , 2 , 73 , 33 , 10 , 13 , 1 , 1 , - , - , 3 , 2 , 2 , 1 , 13 , 2 , 7 , 3 , - ,,
064 Enfermedades del sistema circulatorio, 17 , 13 , 4 , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , 7 , - , 2 , 2 , 1 , 1 , 1 , - , - , 1 , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
065 Fiebre reumática aguda y enfermedades cardiacas reumáticas crónicas, 60 , 44 , 16 , - , 2 , 1 , - , 1 , 1 , 1 , - , 1 , 2 , 1 , 3 , - , - , - , - , 17 , 4 , 1 , - , - , - , 2 , - , 4 , 1 , - , - , - , - , - , - , 9 , 1 , 2 , 1 , - , - , - , - , 1 , - , 1 , - , 1 , - , 1 , 1 , - ,,
066 Enfermedades hipertensivas," 2,095 "," 1,511 ", 584 , 61 , 67 , 21 , 15 , 22 , 8 , 32 , 14 , 72 , 38 , 57 , 28 , 78 , 9 , 47 , 18 , 367 , 19 , 45 , 34 , 67 , 66 , 83 , 35 , 181 , 45 , 1 , 3 , 2 , 1 , 1 , - , 238 , 115 , 48 , 49 , 2 , 2 , - , - , 6 , 1 , 1 , 1 , 35 , 5 , 44 , 11 , - ,,
067 Enfermedades isquémicas del corazón," 5,778 "," 4,594 "," 1,184 ", 102 , 89 , 28 , 22 , 53 , 29 , 26 , 7 , 75 , 56 , 64 , 64 , 121 , 29 , 92 , 46 ," 2,215 ", 153 , 77 , 38 , 94 , 39 , 378 , 101 , 431 , 157 , 9 , 4 , 7 , 4 , 7 , 1 , 561 , 225 , 95 , 69 , 3 , 1 , 1 , - , 5 , 2 , 3 , 1 , 95 , 22 , 49 , 25 , 3 ,,
068 Otras enfermedades del corazón," 1,331 ", 985 , 346 , 54 , 34 , 27 , 6 , 15 , 12 , 20 , 6 , 30 , 21 , 29 , 11 , 33 , 8 , 14 , 7 , 263 , 15 , 36 , 22 , 32 , 13 , 34 , 9 , 65 , 13 , 4 , - , 3 , - , 8 , 3 , 207 , 103 , 64 , 55 , 2 , 2 , 1 , - , 7 , - , 4 , 2 , 27 , 1 , 6 , 3 , - ,,
069 Enfermedades Cerebro vasculares," 2,474 "," 1,901 ", 573 , 84 , 62 , 32 , 16 , 23 , 13 , 15 , 11 , 44 , 48 , 53 , 31 , 81 , 11 , 54 , 20 , 597 , 32 , 56 , 21 , 42 , 25 , 138 , 27 , 225 , 50 , 7 , 8 , 5 , 1 , 7 , 5 , 270 , 101 , 56 , 53 , 5 , 2 , 1 , - , 8 , 5 , 3 , 4 , 68 , 14 , 27 , 13 , - ,,
070 Aterosclerosis, 14 , 8 , 6 , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , 4 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
071 Resto de enfermedades del sistema circulatorio, 209 , 149 , 60 , 15 , 10 , - , 2 , 1 , 3 , 4 , 1 , 4 , 4 , 6 , 1 , 5 , 1 , 2 , 1 , 29 , 1 , 2 , 4 , 6 , 3 , 7 , 4 , 11 , 2 , 1 , - , - , - , 3 , - , 35 , 14 , 9 , 5 , - , 1 , - , - , 1 , 1 , - , - , 4 , 1 , 4 , 1 , - ,,
073 Influenza (Gripe), 42 , 34 , 8 , - , - , - , - , - , - , - , - , 31 , 7 , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
074 Neumonia," 1,822 "," 1,450 ", 372 , 56 , 34 , 17 , 10 , 27 , 13 , 7 , 1 , 22 , 26 , 58 , 26 , 49 , 10 , 41 , 19 , 614 , 27 , 29 , 14 , 37 , 20 , 63 , 17 , 163 , 28 , 10 , 7 , 4 , 2 , 5 , 3 , 141 , 57 , 36 , 28 , 1 , 5 , - , - , 4 , 1 , 3 , 2 , 40 , 13 , 23 , 9 , - ,,
075 Otras Infecciones agudas de las vías respiratorias inferiores, 25 , 13 , 12 , 1 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , - , 1 , 6 , - , - , - , - , - , 2 , - , 1 , 1 , - , - , - , - , - , - , - , 2 , - , 6 , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - ,,
076 Enfermedades crónicas de las vías resp inferiores, 634 , 411 , 223 , 30 , 20 , 11 , 8 , 6 , 4 , 8 , 7 , 24 , 19 , 34 , 24 , 9 , 3 , 8 , 4 , 49 , 2 , 21 , 15 , 20 , 7 , 13 , 3 , 40 , 18 , 1 , 6 , 3 , 4 , 5 , 1 , 85 , 41 , 25 , 28 , 3 , 3 , - , - , 1 , 1 , - , 1 , 14 , 2 , 1 , 2 , - ,,
077 Resto de enfermedades del sistema respiratorio," 1,122 ", 914 , 208 , 34 , 29 , 8 , 5 , 25 , 9 , 5 , 4 , 23 , 7 , 22 , 5 , 32 , 4 , 15 , 12 , 318 , 11 , 12 , 11 , 23 , 7 , 30 , 8 , 78 , 11 , 5 , 8 , 3 , 4 , 7 , 3 , 178 , 47 , 25 , 11 , 2 , 1 , 1 , - , 6 , 2 , 7 , 3 , 38 , 4 , 17 , 2 , - ,,
079 Ulcera gástrica y duodenal, 76 , 54 , 22 , 4 , 5 , 4 , 1 , - , 1 , 3 , - , 1 , 2 , 1 , 1 , 1 , - , 1 , - , 11 , 2 , 2 , 1 , 4 , 1 , 1 , 1 , 3 , - , - , - , - , - , - , - , 12 , 1 , 3 , 3 , - , - , - , - , - , - , 1 , - , 1 , 2 , 1 , 1 , - ,,
080 Enfermedades del hígado," 1,008 ", 780 , 228 , 22 , 24 , 7 , 4 , 7 , 10 , 6 , 4 , 14 , 7 , 13 , 6 , 52 , 6 , 12 , 8 , 292 , 28 , 12 , 7 , 17 , 9 , 34 , 8 , 109 , 28 , 3 , 2 , 2 , - , 2 , - , 105 , 44 , 14 , 11 , 6 , - , 1 , 1 , 4 , 2 , 1 , - , 20 , 2 , 25 , 17 , - ,,
081 Resto de enfermedades del sistema digestivo," 1,141 ", 869 , 272 , 33 , 21 , 11 , 11 , 8 , 9 , 16 , 10 , 21 , 15 , 27 , 18 , 32 , 8 , 15 , 12 , 259 , 7 , 28 , 15 , 25 , 11 , 42 , 10 , 54 , 13 , 5 , - , 5 , 2 , 4 , 2 , 209 , 71 , 32 , 26 , 3 , - , 1 , - , 5 , 3 , 3 , 1 , 22 , 2 , 9 , 5 , - ,,
082 Enfermedades de la piel y del tejido subcutáneo, 193 , 149 , 44 , 8 , 2 , 1 , 1 , 1 , - , - , - , 2 , 3 , 4 , 1 , 4 , 2 , 6 , - , 59 , 3 , 7 , 4 , 5 , 2 , 5 , - , 9 , 3 , 1 , - , 2 , 1 , 1 , 1 , 26 , 11 , 1 , 7 , - , - , - , - , - , 1 , - , - , 5 , 1 , 2 , 1 , - ,,
083 Enfermedades del sis osteomusc y del tejido conjuntivo, 342 , 246 , 96 , 12 , 12 , 6 , 1 , 7 , 4 , 2 , 1 , 8 , 5 , 7 , 2 , 10 , 2 , 6 , 3 , 71 , 5 , 14 , 2 , 8 , 7 , 6 , 4 , 24 , 6 , 1 , 2 , - , - , - , - , 38 , 21 , 12 , 13 , 3 , - , - , - , 1 , 1 , - , 2 , 7 , 2 , 3 , 1 , - ,,
"085 Enfermedades renales, glomerular y tubulointersticial", 65 , 46 , 19 , 2 , 2 , 1 , 1 , - , - , 1 , - , 2 , - , 1 , 1 , - , 2 , - , - , 16 , 2 , - , - , 2 , 3 , 4 , - , 8 , 2 , 1 , - , 1 , - , - , - , 3 , 3 , 2 , 1 , - , - , - , - , - , - , - , - , 2 , - , - , 2 , - ,,
086 Resto de enfermedades del sistema genitourinario," 1,165 ", 916 , 249 , 39 , 25 , 9 , 4 , 16 , 6 , 13 , - , 16 , 6 , 26 , 13 , 56 , 4 , 13 , 11 , 363 , 29 , 18 , 4 , 19 , 8 , 47 , 7 , 75 , 17 , 3 , 3 , 2 , 2 , 4 , - , 139 , 72 , 10 , 25 , 3 , 1 , - , - , 2 , 1 , 1 , 1 , 25 , 5 , 17 , 5 , - ,,
088 Embarazo terminado en aborto, 4 , 3 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
089 Otras muertes obstétricas directas, 68 , 44 , 24 , 1 , 1 , - , 2 , - , 2 , 1 , 1 , 2 , - , - , 3 , 2 , - , - , - , 14 , 2 , 1 , - , 3 , 1 , 4 , 1 , 3 , 2 , - , 1 , 2 , 1 , 1 , 1 , 4 , 3 , 2 , 1 , - , - , - , - , 1 , 2 , 1 , - , - , - , 2 , - , - ,,
090 Muertes obstétricas indirectas, 64 , 49 , 15 , 1 , - , - , - , 2 , - , - , 1 , 1 , 1 , 1 , 2 , 5 , - , 2 , 2 , 16 , 3 , - , - , - , - , 6 , - , 2 , - , 1 , 1 , - , - , 1 , 2 , 3 , - , 1 , - , - , 1 , - , - , 1 , - , 2 , 1 , 2 , - , 2 , 1 , - ,,
091 Resto de embarazo  parto y puerperio, 54 , 47 , 7 , - , - , - , 1 , 2 , - , - , - , - , 1 , 1 , - , 3 , 1 , - , 1 , 19 , - , 1 , - , 1 , - , 3 , - , 6 , - , 2 , - , 1 , - , - , - , 6 , 1 , - , 1 , - , - , - , - , 1 , - , - , - , - , 1 , 1 , - , - ,,
