,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie No. 1.2.7
Número de defunciones en el año (t+1) de menores de un año, por sexo, según región y provincia de residencia habitual de la persona fallecida
Chimborazo, 178 , 106 , 72 , 168 , 105 , 63 , 161 , 77 , 84 , 146 , 76 , 70 , 152 , 81 , 71 , 116 , 54 , 62 , 126 , 65 , 61 , 103 , 61 , 42 , 124 , 66 , 58 , 108 , 68 , 40 , 118 , 70 , 48 , 95 , 57 , 38 , 91 , 50 , 41 , 72 , 37 , 35 ,,
Imbabura, 87 , 43 , 44 , 59 , 37 , 22 , 73 , 34 , 39 , 91 , 59 , 32 , 84 , 48 , 36 , 61 , 34 , 27 , 81 , 40 , 41 , 83 , 45 , 38 , 79 , 45 , 34 , 94 , 48 , 46 , 86 , 46 , 40 , 80 , 42 , 38 , 48 , 28 , 20 , 66 , 31 , 35 ,,
Loja, 83 , 47 , 36 , 85 , 41 , 44 , 85 , 47 , 38 , 52 , 24 , 28 , 54 , 36 , 18 , 68 , 38 , 30 , 55 , 28 , 27 , 61 , 38 , 23 , 73 , 43 , 30 , 77 , 39 , 38 , 93 , 62 , 31 , 89 , 54 , 35 , 55 , 26 , 29 , 64 , 37 , 27 ,,
Pichincha, 769 , 431 , 338 , 750 , 378 , 372 , 704 , 382 , 322 , 662 , 349 , 313 , 610 , 338 , 272 , 644 , 356 , 288 , 611 , 348 , 263 , 564 , 302 , 262 , 589 , 353 , 236 , 657 , 371 , 286 , 667 , 372 , 295 , 662 , 366 , 296 , 268 ,, 268 , 514 , 292 , 222 ,,
Tungurahua, 116 , 69 , 47 , 105 , 60 , 45 , 111 , 63 , 48 , 94 , 44 , 50 , 119 , 70 , 49 , 86 , 46 , 40 , 94 , 51 , 43 , 85 , 48 , 37 , 86 , 42 , 44 , 104 , 55 , 49 , 107 , 59 , 48 , 100 , 56 , 44 , 41 ,, 41 , 54 , 26 , 28 ,,
Santo Domingo de los Tsáchilas, 101 , 68 , 33 , 100 , 52 , 48 , 72 , 38 , 34 , 80 , 46 , 34 , 78 , 34 , 44 , 73 , 45 , 28 , 52 , 22 , 30 , 67 , 34 , 33 , 66 , 42 , 24 , 66 , 40 , 26 , 69 , 40 , 29 , 92 , 56 , 36 , 76 , 35 , 41 , 73 , 45 , 28 ,,
Región Costa," 1,527 ", 878 , 649 ," 1,527 ", 860 , 667 ," 1,428 ", 798 , 630 ," 1,383 ", 758 , 625 ," 1,366 ", 746 , 620 ," 1,378 ", 766 , 612 ," 1,332 ", 737 , 595 ," 1,513 ", 858 , 655 ," 1,523 ", 821 , 702 ," 1,586 ", 877 , 709 ," 1,678 ", 904 , 774 ," 1,633 ", 917 , 716 ," 1,264 ", 741 , 523 ," 1,344 ", 735 , 609 ,,
El Oro, 69 , 43 , 26 , 77 , 39 , 38 , 75 , 40 , 35 , 73 , 42 , 31 , 74 , 41 , 33 , 78 , 39 , 39 , 88 , 43 , 45 , 111 , 61 , 50 , 112 , 55 , 57 , 136 , 80 , 56 , 152 , 81 , 71 , 155 , 83 , 72 , 90 , 50 , 40 , 141 , 88 , 53 ,,
Esmeraldas, 91 , 62 , 29 , 75 , 43 , 32 , 79 , 43 , 36 , 58 , 32 , 26 , 74 , 41 , 33 , 50 , 28 , 22 , 73 , 38 , 35 , 67 , 35 , 32 , 60 , 36 , 24 , 68 , 35 , 33 , 92 , 52 , 40 , 86 , 46 , 40 , 17 ,, 17 , 52 , 21 , 31 ,,
Guayas, 916 , 534 , 382 , 911 , 509 , 402 , 830 , 472 , 358 , 843 , 463 , 380 , 824 , 447 , 377 , 890 , 500 , 390 , 818 , 463 , 355 , 913 , 516 , 397 , 889 , 496 , 393 , 930 , 502 , 428 , 934 , 502 , 432 , 874 , 512 , 362 , 309 ,, 309 , 753 , 410 , 343 ,,
Los Ríos, 206 , 105 , 101 , 191 , 104 , 87 , 172 , 90 , 82 , 162 , 83 , 79 , 145 , 74 , 71 , 118 , 61 , 57 , 113 , 66 , 47 , 158 , 92 , 66 , 171 , 86 , 85 , 165 , 90 , 75 , 168 , 100 , 68 , 180 , 92 , 88 , 108 , 65 , 43 , 133 , 79 , 54 ,,
Manabí, 189 , 106 , 83 , 203 , 122 , 81 , 217 , 117 , 100 , 184 , 101 , 83 , 179 , 106 , 73 , 171 , 102 , 69 , 178 , 94 , 84 , 199 , 117 , 82 , 220 , 115 , 105 , 203 , 119 , 84 , 256 , 128 , 128 , 282 , 152 , 130 , 212 , 122 , 90 , 206 , 105 , 101 ,,
Santa Elena, 56 , 28 , 28 , 70 , 43 , 27 , 55 , 36 , 19 , 63 , 37 , 26 , 70 , 37 , 33 , 71 , 36 , 35 , 62 , 33 , 29 , 65 , 37 , 28 , 71 , 33 , 38 , 84 , 51 , 33 , 76 , 41 , 35 , 56 , 32 , 24 , 54 , 30 , 24 , 59 , 32 , 27 ,,
Región Amazónica, 143 , 80 , 63 , 151 , 81 , 70 , 186 , 89 , 97 , 143 , 85 , 58 , 149 , 84 , 65 , 178 , 98 , 80 , 163 , 101 , 62 , 180 , 94 , 86 , 178 , 94 , 84 , 194 , 102 , 92 , 201 , 108 , 93 , 227 , 116 , 111 , 161 , 88 , 73 , 199 , 103 , 96 ,,
Morona Santiago, 23 , 13 , 10 , 29 , 16 , 13 , 30 , 14 , 16 , 23 , 14 , 9 , 24 , 14 , 10 , 33 , 18 , 15 , 38 , 25 , 13 , 41 , 24 , 17 , 51 , 31 , 20 , 47 , 26 , 21 , 45 , 19 , 26 , 65 , 32 , 33 , 46 , 23 , 23 , 62 , 32 , 30 ,,
Napo, 21 , 12 , 9 , 20 , 11 , 9 , 25 , 11 , 14 , 23 , 15 , 8 , 23 , 13 , 10 , 34 , 15 , 19 , 27 , 18 , 9 , 30 , 17 , 13 , 38 , 21 , 17 , 37 , 19 , 18 , 15 , 9 , 6 , 28 , 16 , 12 , 7 ,, 7 , 28 , 14 , 14 ,,
Pastaza, 16 , 10 , 6 , 21 , 9 , 12 , 25 , 12 , 13 , 15 , 7 , 8 , 19 , 13 , 6 , 19 , 9 , 10 , 17 , 12 , 5 , 24 , 11 , 13 , 17 , 8 , 9 , 18 , 9 , 9 , 31 , 16 , 15 , 20 , 12 , 8 , 13 , 13 ,, 14 , 6 , 8 ,,
Zamora Chinchipe, 24 , 10 , 14 , 17 , 7 , 10 , 15 , 7 , 8 , 12 , 7 , 5 , 11 , 4 , 7 , 16 , 13 , 3 , 15 , 8 , 7 , 11 , 4 , 7 , 10 , 2 , 8 , 14 , 9 , 5 , 12 , 5 , 7 , 19 , 8 , 11 , 10 , 5 , 5 , 11 , 5 , 6 ,,
Sucumbíos, 25 , 14 , 11 , 29 , 19 , 10 , 58 , 31 , 27 , 33 , 21 , 12 , 39 , 25 , 14 , 35 , 21 , 14 , 39 , 25 , 14 , 49 , 27 , 22 , 36 , 20 , 16 , 49 , 23 , 26 , 58 , 33 , 25 , 57 , 30 , 27 , 15 ,, 15 , 50 , 29 , 21 ,,
Orellana, 34 , 21 , 13 , 35 , 19 , 16 , 33 , 14 , 19 , 37 , 21 , 16 , 33 , 15 , 18 , 41 , 22 , 19 , 27 , 13 , 14 , 25 , 11 , 14 , 26 , 12 , 14 , 29 , 16 , 13 , 40 , 26 , 14 , 38 , 18 , 20 , 15 ,, 15 , 34 , 17 , 17 ,,
Región Insular, 2 , 1 , 1 , 4 , 3 , 1 , 6 , 3 , 3 , 2 , 1 , 1 , 4 , 4 , - , 2 , 2 , - , 4 , 4 , - , 1 , 1 , - , 4 , 2 , 2 , 1 , 1 , - , 7 , 2 , 5 , 2 , 1 , 1 , 4 , 4 , - , 3 , 1 , 2 ,,
Galápagos, 2 , 1 , 1 , 4 , 3 , 1 , 6 , 3 , 3 , 2 , 1 , 1 , 4 , 4 , - , 2 , 2 , - , 4 , 4 , - , 1 , 1 , - , 4 , 2 , 2 , 1 , 1 , - , 7 , 2 , 5 , 2 , 1 , 1 , 4 , 4 , - , 3 , 1 , 2 ,,
Exterior, - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , 1 , 1 , - , - , - , - , 2 , 1 , 1 , - , - , - , - , - , - ,,
"1/ Defunciones registrados en el año (t+1):  corresponden a las defunciones generales ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre del año siguiente. Cabe mencionar que se ha realizado el ajuste desde el año 2013. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: Registro estadístico de defunciones generales, años 2008-2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
