,,Mujer, 435 , 420 , 11 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , 1 , 22 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 3 , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 2 , - , 1 , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 3 , - , 14 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , 24 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , 2 , - , 1 , 2 , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 2 , 9 , 4 , 12 , 61 , - , - , - , - , - , - , - , - , 1 , - , - , 1 , 2 , - , 1 , 2 , 13 , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , 2 , 14 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 , 1 , 11 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 3 , 5 , 6 , 37 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , 3 , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 , 2 , 6 , 61 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 2 , - , 1 , 4 , 13 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , 9 , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , 1 , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Neoplasia maligna de la vesícula biliar y de otras,Total:,, 262 , 261 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , 18 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 14 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 2 , 8 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 2 , 2 , 2 , 1 , 9 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , 3 , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , 3 , - , 3 , 3 , 23 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 2 , 14 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , 1 , 10 , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , 1 , 1 , 2 , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 2 , - , 12 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , 3 , 2 , 5 , 41 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , 2 , 13 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Sexo,Hombre, 105 , 104 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 1 , 6 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 , - , 1 , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 2 , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 4 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 , 3 , 17 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mujer, 157 , 157 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , 16 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 9 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , 2 , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 2 , 3 , 18 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , 6 , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , - , 2 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , 8 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 , - , 2 , 24 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Neoplasia maligna de páncreas,Total:,, 537 , 524 , 9 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , 2 , 2 , 31 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 10 , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , 1 , - , 1 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , 1 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , 8 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , 2 , 11 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , 1 , 16 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 3 , 5 , - , - , - , - , - , - , - , - , - , 1 , - , - , 4 , 4 , 10 , 17 , 17 , 77 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 17 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , 1 , 4 , 12 , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , 2 , 4 , 10 , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , 1 , 3 , 3 , 7 , 3 , 18 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 4 , 5 , 4 , 10 , 13 , 107 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 3 , 3 , - , 15 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 1 , 1 , 1 , - , 6 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Sexo,Hombre, 250 , 241 , 7 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , 1 , 11 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , 10 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 4 , - , - , - , - , - , - , - , - , - , 1 , - , - , 3 , 4 , 6 , 9 , 11 , 32 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , 1 , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , 2 , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 3 , 5 , 3 , 8 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 3 , 3 , 6 , 4 , 40 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 , 2 , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mujer, 287 , 283 , 2 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , 1 , 20 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 4 , 8 , 6 , 45 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 13 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 3 , 5 , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , 2 , 3 , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , 3 , - , 2 , - , 10 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , 2 , 1 , 4 , 9 , 67 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 1 , - , 10 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Neoplasia maligna de laringe,Total:,, 51 , 51 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , - , 4 , 1 , 9 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Sexo,Hombre, 43 , 43 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 4 , - , 9 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mujer, 8 , 8 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Neoplasia maligna de la tráquea, bronquios y pulmón",Total:,, 664 , 649 , 11 , 4 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , 4 , 2 , - , 39 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , 11 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , 11 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 2 , 10 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 2 , 3 , 16 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 1 , 4 , 15 , - , - , - , - , 1 , - , - , 1 , 1 , 1 , 3 , 3 , 5 , 8 , 7 , 12 , 20 , 114 , - , - , - , - , - , - , - , - , 1 , 1 , - , - , 2 , 2 , 3 , 1 , 11 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 3 , - , 22 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , 5 , 28 , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , - , 2 , 3 , 6 , 2 , 35 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , 2 , 1 , 1 , 6 , 6 , 9 , 15 , 102 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 , 1 , 3 , 12 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 3 , - , 1 , 3 , 11 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 3 , - , 6 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Sexo,Hombre, 358 , 348 , 7 , 3 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , 1 , 2 , - , 25 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 2 , 7 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 1 , 3 , 11 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 4 , 11 , - , - , - , - , 1 , - , - , - , 1 , 1 , 2 , 2 , 4 , 3 , 2 , 8 , 11 , 74 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 , 1 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , 13 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 , 19 , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , 3 , 3 , - , 17 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 2 , 2 , 1 , 5 , 49 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , 1 , 6 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mujer, 306 , 301 , 4 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , 14 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , 8 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 4 , - , - , - , - , - , - , - , 1 , - , - , 1 , 1 , 1 , 5 , 5 , 4 , 9 , 40 , - , - , - , - , - , - , - , - , 1 , 1 , - , - , 1 , 1 , 1 , - , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 9 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 4 , 9 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 2 , - , 3 , 2 , 18 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 4 , 4 , 8 , 10 , 53 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 2 , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 3 , - , 1 , 1 , 4 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 2 , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
