,,,,,,,,,,,,
"Cuadro No. 3.1.16
Defunciones en el año (t), por lugar y sitio de acaecimiento
Esmeraldas,Total," 2,763 ", 905 , 334 , 6 , 29 , 114 ," 1,154 ", 207 , 14 ,,
,Urbano," 1,841 ", 650 , 243 , 5 , 12 , 87 , 719 , 116 , 9 ,,
,Rural, 922 , 255 , 91 , 1 , 17 , 27 , 435 , 91 , 5 ,,
Guayas,Total," 28,222 "," 6,494 "," 3,670 "," 1,126 ", 385 ," 2,642 "," 12,220 "," 1,650 ", 35 ,,
,Urbano," 26,688 "," 6,230 "," 3,561 "," 1,102 ", 374 ," 2,560 "," 11,293 "," 1,535 ", 33 ,,
,Rural," 1,534 ", 264 , 109 , 24 , 11 , 82 , 927 , 115 , 2 ,,
Los Ríos,Total," 5,777 "," 1,477 ", 705 , 134 , 13 , 476 ," 2,607 ", 357 , 8 ,,
,Urbano," 4,640 "," 1,205 ", 610 , 113 , 11 , 418 ," 1,995 ", 282 , 6 ,,
,Rural," 1,137 ", 272 , 95 , 21 , 2 , 58 , 612 , 75 , 2 ,,
Manabí,Total," 9,782 "," 2,418 "," 1,402 ", 70 , 4 ," 1,087 "," 4,456 ", 327 , 18 ,,
,Urbano," 7,772 "," 2,103 "," 1,151 ", 54 , 4 , 921 ," 3,260 ", 266 , 13 ,,
,Rural," 2,010 ", 315 , 251 , 16 ,  , 166 ," 1,196 ", 61 , 5 ,,
Santa Elena,Total," 1,972 ", 553 , 78 , 31 , 8 , 214 , 992 , 88 , 8 ,,
,Urbano," 1,302 ", 426 , 47 , 22 , 7 , 165 , 573 , 55 , 7 ,,
,Rural, 670 , 127 , 31 , 9 , 1 , 49 , 419 , 33 , 1 ,,
Región Amazónica,Total," 3,964 "," 1,507 ", 177 , - , 16 , 180 ," 1,734 ", 340 , 10 ,,
,Urbano," 2,467 "," 1,101 ", 128 , - , 11 , 130 , 899 , 189 , 9 ,,
,Rural," 1,497 ", 406 , 49 , - , 5 , 50 , 835 , 151 , 1 ,,
Morona Santiago,Total, 726 , 264 , 30 ,  , 2 , 36 , 304 , 89 , 1 ,,
,Urbano, 411 , 176 , 19 ,  , 1 , 28 , 132 , 54 , 1 ,,
,Rural, 315 , 88 , 11 ,  , 1 , 8 , 172 , 35 ,  ,,
Napo,Total, 582 , 200 , 15 ,  , 4 , 26 , 308 , 28 , 1 ,,
,Urbano, 333 , 143 , 12 ,  , 2 , 22 , 138 , 15 , 1 ,,
,Rural, 249 , 57 , 3 ,  , 2 , 4 , 170 , 13 ,  ,,
Pastaza,Total, 465 , 166 , 72 ,  , 3 , 20 , 170 , 34 ,  ,,
,Urbano, 317 , 123 , 58 ,  , 2 , 13 , 101 , 20 ,  ,,
,Rural, 148 , 43 , 14 ,  , 1 , 7 , 69 , 14 ,  ,,
Zamora Chinchipe,Total, 522 , 156 , 40 ,  ,  , 44 , 233 , 46 , 3 ,,
,Urbano, 344 , 117 , 26 ,  ,  , 31 , 146 , 22 , 2 ,,
,Rural, 178 , 39 , 14 ,  ,  , 13 , 87 , 24 , 1 ,,
Sucumbíos,Total, 980 , 475 , 14 ,  , 3 , 23 , 367 , 93 , 5 ,,
,Urbano, 687 , 377 , 9 ,  , 2 , 16 , 222 , 56 , 5 ,,
,Rural, 293 , 98 , 5 ,  , 1 , 7 , 145 , 37 ,  ,,
Orellana,Total, 689 , 246 , 6 ,  , 4 , 31 , 352 , 50 ,  ,,
,Urbano, 375 , 165 , 4 ,  , 4 , 20 , 160 , 22 ,  ,,
,Rural, 314 , 81 , 2 ,  ,  , 11 , 192 , 28 ,  ,,
Región Insular,Total, 82 , 41 , 3 , 3 , - , 6 , 22 , 5 , 2 ,,
,Urbano, 67 , 36 , 3 , 3 , - , 5 , 17 , 2 , 1 ,,
,Rural, 15 , 5 , - , - , - , 1 , 5 , 3 , 1 ,,
Galapagos,Total, 82 , 41 , 3 , 3 ,  , 6 , 22 , 5 , 2 ,,
,Urbano, 67 , 36 , 3 , 3 ,  , 5 , 17 , 2 , 1 ,,
,Rural, 15 , 5 ,  ,  ,  , 1 , 5 , 3 , 1 ,,
Exterior,Total, 30 , 6 , 1 , - , - , 6 , 1 , 16 , - ,,
,Urbano, 30 , 6 , 1 , - , - , 6 , 1 , 16 , - ,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,
,,,,,,,,,,,,
