,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.8 
Defunciones de menores de un mes, por días de edad, según región,  provincia y sexo de residencia habitual de la madre
,,Hombre, 16 , 2 , 3 , 1 , 2 ,  , 1 ,  , 2 , 3 , 1 , 1 ,,
,,Mujer, 12 , 2 , 1 , 1 ,  , 1 ,  ,  , 5 , 2 ,  ,  ,,
,Santo Domingo de los Tsáchilas,Total, 43 , 7 , 6 , 4 , 4 , 3 , 2 , 1 , 11 , 5 ,  ,  ,,
,,Hombre, 26 , 3 , 6 , 3 , 2 , 1 , 2 , 1 , 5 , 3 ,  ,  ,,
,,Mujer, 17 , 4 ,  , 1 , 2 , 2 ,  ,  , 6 , 2 ,  ,  ,,
Región Costa,,Total, 895 , 167 , 78 , 91 , 76 , 66 , 42 , 43 , 175 , 75 , 61 , 21 ,,
,,Hombre, 502 , 89 , 46 , 56 , 45 , 35 , 25 , 23 , 91 , 41 , 36 , 15 ,,
,,Mujer, 393 , 78 , 32 , 35 , 31 , 31 , 17 , 20 , 84 , 34 , 25 , 6 ,,
Región Costa,El Oro,Total, 99 , 11 , 2 , 6 , 12 , 13 , 7 , 3 , 25 , 9 , 10 , 1 ,,
,,Hombre, 58 , 5 , 2 , 5 , 7 , 8 , 5 , 3 , 13 , 5 , 4 , 1 ,,
,,Mujer, 41 , 6 ,  , 1 , 5 , 5 , 2 ,  , 12 , 4 , 6 ,  ,,
,Esmeraldas,Total, 34 , 6 , 2 , 2 , 4 , 2 , 4 ,  , 8 , 3 , 3 ,  ,,
,,Hombre, 13 , 1 , 1 ,  , 2 ,  , 2 ,  , 3 , 2 , 2 ,  ,,
,,Mujer, 21 , 5 , 1 , 2 , 2 , 2 , 2 ,  , 5 , 1 , 1 ,  ,,
,Guayas,Total, 521 , 104 , 46 , 58 , 45 , 39 , 18 , 34 , 88 , 43 , 31 , 15 ,,
,,Hombre, 297 , 60 , 30 , 37 , 25 , 22 , 8 , 16 , 47 , 22 , 18 , 12 ,,
,,Mujer, 224 , 44 , 16 , 21 , 20 , 17 , 10 , 18 , 41 , 21 , 13 , 3 ,,
,Los Ríos,Total, 76 , 22 , 12 , 7 , 4 ,  , 4 , 2 , 17 , 6 , 2 ,  ,,
,,Hombre, 48 , 12 , 6 , 5 , 3 ,  , 3 , 2 , 10 , 5 , 2 ,  ,,
,,Mujer, 28 , 10 , 6 , 2 , 1 ,  , 1 ,  , 7 , 1 ,  ,  ,,
,Manabí,Total, 122 , 13 , 11 , 16 , 8 , 11 , 9 , 4 , 26 , 11 , 9 , 4 ,,
,,Hombre, 65 , 7 , 7 , 8 , 6 , 4 , 7 , 2 , 12 , 5 , 6 , 1 ,,
,,Mujer, 57 , 6 , 4 , 8 , 2 , 7 , 2 , 2 , 14 , 6 , 3 , 3 ,,
,Santa Elena,Total, 43 , 11 , 5 , 2 , 3 , 1 ,  ,  , 11 , 3 , 6 , 1 ,,
,,Hombre, 21 , 4 ,  , 1 , 2 , 1 ,  ,  , 6 , 2 , 4 , 1 ,,
,,Mujer, 22 , 7 , 5 , 1 , 1 ,  ,  ,  , 5 , 1 , 2 ,  ,,
Región Amazónica,,Total, 113 , 17 , 13 , 12 , 8 , 7 , 5 , 4 , 26 , 11 , 10 ,,,
,,Hombre, 62 , 2 , 7 , 10 , 6 , 4 , 4 , 1 , 18 , 7 , 3 ,  ,,
,,Mujer, 51 , 15 , 6 , 2 , 2 , 3 , 1 , 3 , 8 , 4 , 7 ,  ,,
Región Amazónica,Morona Santiago,Total, 36 , 7 , 4 , 2 , 2 , 2 , 1 , 1 , 11 , 4 , 2 ,  ,,
,,Hombre, 21 , 1 , 3 , 2 , 1 , 1 , 1 ,  , 8 , 3 , 1 ,  ,,
,,Mujer, 15 , 6 , 1 ,  , 1 , 1 ,  , 1 , 3 , 1 , 1 ,  ,,
,Napo,Total, 9 , 1 ,  , 1 ,  ,  , 1 ,  , 2 , 2 , 2 ,  ,,
,,Hombre, 5 , 1 ,  , 1 ,  ,  , 1 ,  , 1 , 1 ,  ,  ,,
,,Mujer, 4 ,  ,  ,  ,  ,  ,  ,  , 1 , 1 , 2 ,  ,,
,Pastaza,Total, 7 , 1 , 2 , 1 ,  ,  ,  , 1 , 1 , 1 ,  ,  ,,
,,Hombre, 3 ,  ,  , 1 ,  ,  ,  ,  , 1 , 1 ,  ,  ,,
,,Mujer, 4 , 1 , 2 ,  ,  ,  ,  , 1 ,  ,  ,  ,  ,,
,Zamora Chinchipe,Total, 9 , 1 ,  , 1 , 2 , 2 ,  ,  , 1 , 1 , 1 ,  ,,
,,Hombre, 4 ,  ,  ,  , 1 , 1 ,  ,  ,  , 1 , 1 ,  ,,
,,Mujer, 5 , 1 ,  , 1 , 1 , 1 ,  ,  , 1 ,  ,  ,  ,,
,Sucumbíos,Total, 35 , 4 , 7 , 2 , 3 , 2 , 2 , 2 , 8 , 2 , 3 ,  ,,
,,Hombre, 21 ,  , 4 , 2 , 3 , 1 , 2 , 1 , 6 , 1 , 1 ,  ,,
,,Mujer, 14 , 4 , 3 ,  ,  , 1 ,  , 1 , 2 , 1 , 2 ,  ,,
,Orellana,Total, 17 , 3 ,  , 5 , 1 , 1 , 1 ,  , 3 , 1 , 2 ,  ,,
,,Hombre, 8 ,  ,  , 4 , 1 , 1 ,  ,  , 2 ,  ,  ,  ,,
,,Mujer, 9 , 3 ,  , 1 ,  ,  , 1 ,  , 1 , 1 , 2 ,  ,,
Región Insular,Galápagos,Total, 2 ,, 1 , 1 ,,,,,,,,,,
,,Hombre, 1 ,  ,  , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,,
,,Mujer, 1 ,  , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,,
