CANTON_CODIGO;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CANTON_NOMBRE
;10;Imbabura;Zona Especial Electoral Las Golondrinas
1103;11;Loja;Catamayo
1113;11;Loja;Zapotillo
1101;11;Loja;Loja
1111;11;Loja;Saraguro
1109;11;Loja;Paltas
1116;11;Loja;Olmedo
1104;11;Loja;Celica
1102;11;Loja;Calvas
1108;11;Loja;Macará
1110;11;Loja;Puyango
1107;11;Loja;Gonzanamá
1106;11;Loja;Espíndola
1112;11;Loja;Sozoranga
1114;11;Loja;Pindal
1115;11;Loja;Quilanga
1105;11;Loja;Chaguarpamba
1201;12;Los Ríos;Babahoyo
1211;12;Los Ríos;Valencia
1202;12;Los Ríos;Baba
1208;12;Los Ríos;Vinces
1204;12;Los Ríos;Pueblo Viejo
1206;12;Los Ríos;Urdaneta
1205;12;Los Ríos;Quevedo
1207;12;Los Ríos;Ventanas
1213;12;Los Ríos;Quinsaloma
1203;12;Los Ríos;Montalvo
1209;12;Los Ríos;Palenque
1210;12;Los Ríos;Buena Fe
1212;12;Los Ríos;Mocache
1305;13;Manabí;Flavio Alfaro
1301;13;Manabí;Portoviejo
1309;13;Manabí;Montecristi
1321;13;Manabí;Jaramijó
1308;13;Manabí;Manta
1306;13;Manabí;Jipijapa
1316;13;Manabí;24 De Mayo
1312;13;Manabí;Rocafuerte
1313;13;Manabí;Santa Ana
1314;13;Manabí;Sucre
1320;13;Manabí;Jama
1322;13;Manabí;San Vicente
1303;13;Manabí;Chone
1302;13;Manabí;Bolívar
1307;13;Manabí;Junín
1310;13;Manabí;Paján
1304;13;Manabí;El Carmen
1315;13;Manabí;Tosagua
1311;13;Manabí;Pichincha
1317;13;Manabí;Pedernales
1318;13;Manabí;Olmedo
1319;13;Manabí;Puerto López
;13;Manabí;Zona Especial Electoral La Manga Del Cura
1401;14;Morona Santiago;Morona
1402;14;Morona Santiago;Gualaquiza
1403;14;Morona Santiago;Limón Indanza
1405;14;Morona Santiago;Santiago
1406;14;Morona Santiago;Sucúa
1410;14;Morona Santiago;Logroño
1404;14;Morona Santiago;Palora
1407;14;Morona Santiago;Huamboya
1411;14;Morona Santiago;Pablo Sexto
1412;14;Morona Santiago;Tiwintza
1408;14;Morona Santiago;San Juan Bosco
1409;14;Morona Santiago;Taisha
1504;15;Napo;El Chaco
1501;15;Napo;Tena
1509;15;Napo;C. J. Arosemena Tola
1507;15;Napo;Quijos
1503;15;Napo;Archidona
1601;16;Pastaza;Pastaza
1602;16;Pastaza;Mera
1603;16;Pastaza;Santa Clara
1604;16;Pastaza;Arajuno
1701;17;Pichincha;Quito
1702;17;Pichincha;Cayambe
1703;17;Pichincha;Mejía
1704;17;Pichincha;Pedro Moncayo
1705;17;Pichincha;Rumiñahui
1707;17;Pichincha;San Miguel De Los Bancos
1708;17;Pichincha;Pedro Vicente Maldonado
1709;17;Pichincha;Puerto Quito
1809;18;Tungurahua;Tisaleo
1801;18;Tungurahua;Ambato
1807;18;Tungurahua;Pelileo
1808;18;Tungurahua;Píllaro
1802;18;Tungurahua;Baños
1805;18;Tungurahua;Patate
1806;18;Tungurahua;Quero
1803;18;Tungurahua;Cevallos
1804;18;Tungurahua;Mocha
1903;19;Zamora Chinchipe;Nangaritza
1901;19;Zamora Chinchipe;Zamora
1902;19;Zamora Chinchipe;Chinchipe
1908;19;Zamora Chinchipe;Palanda
1904;19;Zamora Chinchipe;Yacuambi
1905;19;Zamora Chinchipe;Yanzatza
1906;19;Zamora Chinchipe;El Pangui
1907;19;Zamora Chinchipe;Centinela Del Cóndor
1909;19;Zamora Chinchipe;Paquisha
2001;20;Galápagos;San Cristóbal
2003;20;Galápagos;Santa Cruz
2002;20;Galápagos;Isabela
2101;21;Sucumbios;Lago Agrio
2107;21;Sucumbios;Cuyabeno
2105;21;Sucumbios;Sucumbios
2103;21;Sucumbios;Putumayo
2104;21;Sucumbios;Shushufindi
2106;21;Sucumbios;Cascales
2102;21;Sucumbios;Gonzalo Pizarro
2202;22;Orellana;Aguarico
2201;22;Orellana;Fco.De Orellana
2203;22;Orellana;Joya De Los Sachas
2204;22;Orellana;Loreto
2301;23;Sto Dgo Tsáchilas;Santo Domingo
2302;23;Sto Dgo Tsáchilas;La Concordia
2403;24;Santa Elena;Salinas
2401;24;Santa Elena;Santa Elena
2402;24;Santa Elena;La Libertad
