Tipo muerte SRMCE2;Año I;Canton;Provincia;Cuenta Victima;Accion Infraccion;Agravantes 142 1;Agravantes 142 2;Agravantes 142 3;Agravantes 142 4;Ambito Genero;Años Privac;anteced VBG vict;Anteced Vic;Anteced Vict;Antecedentes22;antecedVBG vic vict;Apelacion;Area;Arma Especif;Atenuantes Art 42;Casacion;Categoria Tipificada;Categoria Vict;Circunstancias Art 140;Cod Provin;Cuenta Noticia Delito;Defensor Publico;Delito Sent Ejec;Delito Sentencia;Dictamen;Disc Vic;Edad Reproductiva;Edad Vic;Edad Vict;Embarazo Vic;Estado Causa;Estado Causa2;Estado Ppl;Estcivil Vic;Estcivil Vict;Etnia Vic;Etnia Vict;Fecha Acta;fecha actualizacionCJ;Fecha Detencion;Fecha I;fecha ingresaMatriz;Fecha M;Fecha Ndd;Fecha Proceso;fecha reformulacion NDD;Fecha Sentencia;Fechafallec Vict;Garantia No Repeticion;Gedad Vic;Gedad Vict;Glbti Vic;Hijos Vic;Hora Acta;Hora I;Hora Ndd;Id Victima;Indemnizacion;Indicio Asex;Ingresa;Intento Suicidio;Latitud;Longitud;Lugar Especif;Lugar Hecho;Mas Buscados;Med Cautelares Art522;Mes I;Mod Tipo Penal Otro;Muerte Victimario;Nac Vic;Nac Vict;NDD;Ndd Pd;Ndd Reformulacion;ndd tipoPenal Actual;ndd tipoPenal Inicia;Niña Adoles;Nivel Educación Vic;Nivin Vic;Nivin Vict;Noticia Delito;Num Vic Conex;Numero Juicio;Numhijos Vic;Ocupa Vic;Ocupa Vict;Orden Captura;Otros Agravantes Art 47;Otros Victimarios;Otrosproced Vict;Otrosproced Vict23;otrosProces vic vict;Pcausa M;Ppl Menor;Presun Motiva;presun motivaEsp;Privac Modif;Profesion Vic;Profesion Vict;Profugo Victimario;Rehabilitacion;rela vicConex;Relacion Vic Agresor;reportada PD;Resol Apela;Resol Casac;Restitucion;Satisfaccion Simbolica;Sexo Vic;Sexo Vict;Termina Causa;Tipo Arma;Tipo muerte SRMCE;Tipo Sent Ejec;Tipo Sentencia;Vic Conex;Victimas Indirect
FEMICIDIO;2017;CUENCA;AZUAY;1;;NO;SI;NO;NO;PRIVADO;34 AÑOS Y 8 MESES;NO;NO;NO;;VIOLENCIA PSICOLOGICA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;NO;RURAL;SIN DATO;42.1;NO;FEMICIDIO;SENTENCIADO;NO APLICA;01;1;;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;24;24;SI;RESUELTA;RESUELTA;SENTENCIADO;CASADO/A;CASADO/A;MESTIZO/A;MESTIZO/A;20/12/2017;;4/1/2018;20/12/2017;;20/12/2017;21/12/2017;20/12/2017;;29/1/2019 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;ENTRE 15 Y 24 AÑOS;NO;SI;12:00;03:00;30/12/1899 15:53:12;35335;SI;;SAI;SIN DATO;-2,95594;-79,015875;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;12;NO APLICA;NO APLICA;ECUADOR;ECUADOR;010101817120775;;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;BACHILLERATO;EDUCACION BASICA;1;NO APLICA;01283201711823G;1;OTROS;SIN DATO;NO APLICA;47.1;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;MAEST.CORT.CONF.BORD;EMPLEADO;NO;NO;NO APLICA;CONYUGE;;NO APLICA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;NO APLICA
FEMICIDIO;2017;AMBATO;TUNGURAHUA;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO;NO;NO;;NO;NO APLICA;URBANA;CUCHILLO;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;18;1;SI;NO APLICA;NO APLICA;ABSTENTIVO;NINGUNA;SI;46;54;NO;RESUELTA;RESUELTA;NO APLICA;CASADO/A;CASADO/A;MESTIZO/A;MESTIZO/A;21/12/2017;2/1/2022;NO APLICA;21/12/2017;;21/12/2017;22/12/2017;30/12/1899;;30/12/1899 0:00:00;23/12/2017;NO APLICA;ENTRE 45 Y 64 AÑOS;ENTRE 45 Y 64 AÑOS;NO;SI;09:00;05:30;30/12/1899 10:53:00;35353;NO APLICA;;FLAGRANCIA;NO APLICA;-1,23871;-78,619307;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;NO APLICA;12;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;180101817120540;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;PRIMARIA;1;NO APLICA;NO APLICA;2;NO DETERMINADO;SIN DATO;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO APLICA;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;EMPLEADA;JORNALERO;NO APLICA;NO APLICA;NO APLICA;CONYUGE;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;ARCHIVO DE LA INVESTIGACION PREVIA;ARMA BLANCA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
OTRAS MUERTES VIOLENTAS;2017;QUITO;PICHINCHA;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;34 AÑOS Y 8 MESES;NO;NO;NO;;NO;SI;URBANA;SIN DATO;NO APLICA;SI;ASESINATO;SENTENCIADO;"4;6";17;1;;NO APLICA;140 ASESINATO;NO APLICA (EVENTO MULTIPLE);NINGUNA;NO;78;21;NO APLICA;NO APLICA;TRÁMITE;SENTENCIADO;VIUDO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;23/12/2017;;30/12/1899;22/12/2017;;22/12/2017;24/12/2017;NO APLICA;;19/12/2018 0:00:00;NO APLICA;NO;DE 65 AÑOS Y MÁS;ENTRE 15 Y 24 AÑOS;NO;SI;12:00;23:30;30/12/1899 15:03:00;35397;SI;;NO APLICA;SIN DATO;-0,152971807;-78,499993794;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;12;NO APLICA;NO APLICA;ECUADOR;ECUADOR;170101817124329-2;NO APLICA;NO APLICA;NO APLICA (EVENTO MULTIPLE);NO APLICA (EVENTO MULTIPLE);;EDUCACION BASICA;PRIMARIA;BACHILLERATO;;NO APLICA;17282201704765;SIN DATO;OTROS;ESTUDIANTE;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;LITIGIO DE BIENES;NO APLICA;QUEHACER. DOMESTICOS;ESTUDIANTE;NO;NO;NO APLICA;CONOCIDO/A;NO;RECHAZANDO RECURSO;INADMISION;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;ASESINATO;NO APLICA;CONDENATORIA;NO;SIN DATO
OTRAS MUERTES VIOLENTAS;2017;QUITO;PICHINCHA;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;34 AÑOS Y 8 MESES;NO;NO;NO;;NO;SI;URBANA;SIN DATO;NO;SI;ASESINATO;SENTENCIADO;"1;4;6";17;1;;140 ASESINATO;140 ASESINATO;ACUSATORIO;NINGUNA;SI;49;18;NO;RESUELTA;RESUELTA;SENTENCIADO;DIVORCIADO/A;CASADO/A;MESTIZO/A;MESTIZO/A;23/12/2017;;30/12/1899;22/12/2017;;22/12/2017;24/12/2017;24/12/2017;;19/12/2018 0:00:00;NO APLICA;NO;ENTRE 45 Y 64 AÑOS;ENTRE 15 Y 24 AÑOS;NO;SI;12:00;23:30;30/12/1899 15:03:00;35395;SI;;FLAGRANCIA;SIN DATO;-0,152971807;-78,499993794;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;12;NO APLICA;NO APLICA;ECUADOR;ECUADOR;170101817124329-1;;NO;140 ASESINATO;140 ASESINATO;;SUPERIOR;SUPERIOR;BACHILLERATO;1;NO APLICA;17282201704765;SIN DATO;OTROS;ESTUDIANTE;NO APLICA;47.1, 5, 11, 14;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;LITIGIO DE BIENES;NO APLICA;ECONOMISTA;EMPLEADO;NO;NO;NO APLICA;PARIENTE CONSANGUINEO (FAMILIAR);;RECHAZANDO RECURSO;INADMISION;NO;NO;MUJER;MUJER;SENTENCIA;ARMA BLANCA;ASESINATO;CONDENATORIA;CONDENATORIA;NO;SIN DATO
OTRAS MUERTES VIOLENTAS;2017;SHUSHUFINDI;SUCUMBIOS;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;26 AÑOS;NO;NO;NO;;NO;SI;URBANA;SIN DATO;NO;SI;ASESINATO;SENTENCIADO;2;21;1;SI;140 ASESINATO;140 ASESINATO;ACUSATORIO;NINGUNA;SI;25;34;NO;RESUELTA;RESUELTA;SENTENCIADO;SOLTERO/A;CASADO/A;AFROECUATORIANO/A-AFRODESCENDIENTE;MESTIZO/A;24/12/2017;;24/12/2017;23/12/2017;;23/12/2017;26/12/2017;24/12/2017;;20/8/2018 0:00:00;NO APLICA;NO;ENTRE 25 Y 34 AÑOS;ENTRE 25 Y 34 AÑOS;NO;NO;04:00;23:00;30/12/1899 9:35:00;35405;SI;;FLAGRANCIA;SIN DATO;-0,192646617;-76,640281677;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;12;NO APLICA;NO APLICA;ECUADOR;ECUADOR;210401817120056;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;EDUCACION BASICA;BACHILLERATO;1;NO APLICA;21332201700933;NO APLICA;NO DETERMINADO;ALBAÑIL;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA COMUNITARIA;EMOCIONAL;NO APLICA;QUEHACER. DOMESTICOS;ESTUDIANTE;NO;NO;NO APLICA;OTROS NO FAMILIARES;;RATIFICA SENTENCIA;INADMISION;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;ASESINATO;CONDENATORIA;CONDENATORIA;NO;FAMILIARES
FEMICIDIO;2017;QUITO;PICHINCHA;1;;NO;NO;NO;NO;PUBLICO;34 AÑOS Y 8 MESES;NO;NO;NO;;NO;SI;RURAL;SIN DATO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;17;1;;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;36;29;NO;RESUELTA;RESUELTA;SENTENCIADO;CASADO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;24/12/2017;;23/12/2017;23/12/2017;;23/12/2017;24/12/2017;24/12/2017;;3/9/2018 0:00:00;NO APLICA;NO;ENTRE 35 Y 44 AÑOS;ENTRE 25 Y 34 AÑOS;NO;SI;01:30;22:30;30/12/1899 18:07:16;35400;SI;;FLAGRANCIA;SIN DATO;-0,238377;-78,313935;OTRO LUGAR;VIA PUBLICA;NO APLICA;6;12;NO APLICA;NO APLICA;ECUADOR;ECUADOR;170101817124337;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;BACHILLERATO;1;NO APLICA;17282201704766;3;NO DETERMINADO;SIN DATO;NO APLICA;47.7;NO;DIVORCIO POR CAUSAL;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;QUEHACER. DOMESTICOS;EMPLEADO PARTICULAR;NO;SI;NO APLICA;EXCONVIVIENTE;;NEGANDO RECURSO;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;HIJA/OS
FEMICIDIO;2017;QUITO;PICHINCHA;1;141 FEMICIDIO;NO;SI;NO;NO;PRIVADO;26 AÑOS;NO;SI;"TRAFICO ILICITO DE SUSTANCIAS; ROBO; NARCOTRAFICO";SI;NO;SI;URBANA;SIN DATO;SIN DATO;NO APLICA;FEMICIDIO;SOSPECHOSO;NO APLICA;17;1;;NO APLICA;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;22;39;SIN DATO;RECURSO DE CASACION;TRÁMITE;PROFUGO;SOLTERO/A;CASADO/A;MESTIZO/A;MESTIZO/A;26/12/2017;13/11/2022;30/12/1899;26/12/2017;;26/12/2017;29/12/2017;27/5/2021;;30/5/2022 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;ENTRE 35 Y 44 AÑOS;NO;SIN DATO;21:00;19:00;30/12/1899 8:26:04;35464;SI;;SAI;NO;-0,092212630;-78,522672057;DOMICILIO DEL VICTIMARIO;CASA/VILLA;SIN DATO;6;12;NO APLICA;NO APLICA;ECUADOR;ECUADOR;170101817125203;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;EDUCACION BASICA;PRIMARIA;1;NO APLICA;17572202100231;SIN DATO;NO DETERMINADO;SIN DATO;SI;NO;NO;JUICIO DE ALIMENTOS;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;AYUDANTE;JORNALERO;SI;SI;NO APLICA;EXCONVIVIENTE;;RECHAZANDO RECURSO;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;NO APLICA;CONDENATORIA;NO;SIN DATO
OTRAS MUERTES VIOLENTAS;2017;GUAYAQUIL;GUAYAS;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO IDENTIFICADO;NO;NO IDENTIFICADO;;NO IDENTIFICADO;NO APLICA;URBANA;SIN DATO;NO APLICA;NO APLICA;ASESINATO;NO IDENTIFICADO;NO APLICA;09;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;NO;52;NO IDENTIFICADO;NO APLICA;INVESTIGACION PREVIA;TRÁMITE;;SOLTERO/A;NO IDENTIFICADO;MESTIZO/A;NO IDENTIFICADO;31/12/2017;;NO IDENTIFICADO;31/12/2017;;31/12/2017;31/12/2017;;;30/12/1899 0:00:00;NO IDENTIFICADO;NO APLICA;ENTRE 45 Y 64 AÑOS;NO IDENTIFICADO;NO;SI;07:00;02:30;30/12/1899 8:40:45;35557;NO APLICA;;FLAGRANCIA;NO IDENTIFICADO;-2,15662365;-79,91568804;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO IDENTIFICADO;NO IDENTIFICADO;12;NO APLICA;NO IDENTIFICADO;ECUADOR;NO IDENTIFICADO;090101817126271;;NO;140 ASESINATO;140 ASESINATO;;BACHILLERATO;BACHILLERATO;NO IDENTIFICADO;1;NO APLICA;;SIN DATO;NO DETERMINADO;NO IDENTIFICADO;NO IDENTIFICADO;NO APLICA;NO IDENTIFICADO;NO IDENTIFICADO;;NO IDENTIFICADO;HERIDA POR ARMA BLANCA;;DELINCUENCIA COMUN;ROBO A DOMICILIOS;NO APLICA;ESTUDIANTE;NO IDENTIFICADO;NO IDENTIFICADO;NO APLICA;NO APLICA;NO IDENTIFICADO;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;NO IDENTIFICADO;NO APLICA;ARMA BLANCA;ASESINATO;NO APLICA;NO APLICA;NO;NO APLICA
FEMICIDIO;2017;BABAHOYO;LOS RIOS;1;;NO;NO;SI;NO;PRIVADO;26 AÑOS;NO;NO;"TENTATIVA DE ASESINATO; LESIONES; ROBO";SI;NO;SI;URBANA;SIN DATO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;12;1;SI;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;29;41;NO;RESUELTA;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;31/12/2017;;1/1/2018;31/12/2017;;31/12/2017;1/1/2018;1/1/2018;;28/11/2018 0:00:00;NO APLICA;NO;ENTRE 25 Y 34 AÑOS;ENTRE 35 Y 44 AÑOS;NO;SI;19:25;18:20;30/12/1899 9:07:41;35567;SI;;FLAGRANCIA;SIN DATO;-1,806778;-79,534092;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;12;NO APLICA;NO APLICA;ECUADOR;ECUADOR;120101818010001;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;EDUCACION BASICA;PRIMARIA;1;NO APLICA;12282201800003;3;NO DETERMINADO;SIN DATO;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;QUEHACER. DOMESTICOS;AGRICULTOR;NO;SI;NO APLICA;PAREJA;;NEGANDO RECURSO;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;"3 HIJAS/OS; MADRE"
FEMICIDIO;2018;LORETO;ORELLANA;1;;NO;SI;NO;NO;PRIVADO;26 AÑOS;NO;NO;NO;;NO;NO;RURAL;PRENDA TEXTIL;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;22;1;;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NINGUNA;SI;16;19;NO;RESUELTA;RESUELTA;SENTENCIADO;UNION DE HECHO;SOLTERO/A;INDIGENA;MESTIZO/A;5/3/2018;;3/1/2018;1/1/2018;;5/3/2018;22/1/2018;3/1/2018;;11/7/2018 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;ENTRE 15 Y 24 AÑOS;NO;SI;13:00;00:10;30/12/1899 14:21:00;36861;SI;;SAI;SIN DATO;-0,75835;-77,32971;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;Enero;NO APLICA;NO APLICA;ECUADOR;ECUADOR;220401818010001;;NO;141 FEMICIDIO;141 FEMICIDIO;Adolescente;EDUCACION BASICA;EDUCACION BASICA;EDUCACION BASICA;1;NO APLICA;22303201800002;1;SIN DATO;SIN DATO;NO APLICA;NO;NO;NO;;NO;ESTRANGULACION;NO;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;OTROS;ESTUDIANTE;NO;NO;NO APLICA;CONVIVIENTE;;NO APLICA;NO APLICA;SI;NO;MUJER;HOMBRE;SENTENCIA;CONSTRICTORA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;"1 HIJO/A; MADRE; PADRE"
FEMICIDIO;2018;EL PAN;AZUAY;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO;NO;NO;;NO;NO APLICA;RURAL;SIN DATO;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;01;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;32;34;SI;RESUELTA;RESUELTA;NO APLICA;CASADO/A;CASADO/A;MESTIZO/A;MESTIZO/A;3/1/2018;2/1/2022;NO APLICA;3/1/2018;;3/1/2018;4/1/2018;30/12/1899;;30/12/1899 0:00:00;5/1/2018;NO APLICA;ENTRE 25 Y 34 AÑOS;ENTRE 25 Y 34 AÑOS;NO;SI;23:00;18:00;30/12/1899 14:21:00;35662;NO APLICA;;SAI;NO APLICA;-2,812705;-78,675249;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;NO APLICA;Enero;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;010501818010011;;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;SECUNDARIA;SECUNDARIA;1;NO APLICA;NO APLICA;3;NO DETERMINADO;SIN DATO;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO APLICA;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;EMPLEADA PRIVADA;AGRICULTOR;NO APLICA;NO APLICA;NO APLICA;CONYUGE;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;ARCHIVO DE LA INVESTIGACION PREVIA;ARMA BLANCA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
FEMICIDIO;2018;QUITO;PICHINCHA;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO;NO;NO;;NO;NO APLICA;URBANA;REVOLVER;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;17;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;22;42;NO;INVESTIGACION PREVIA;TRÁMITE;NO APLICA;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;6/1/2018;;NO APLICA;6/1/2018;;6/1/2018;10/1/2018;30/12/1899;;30/12/1899 0:00:00;6/1/2018;NO APLICA;ENTRE 15 Y 24 AÑOS;ENTRE 35 Y 44 AÑOS;NO;NO;12:30;07:00;30/12/1899 16:19:00;35692;NO APLICA;;SAI;NO APLICA;-0,3657076;-78,4838209;DOMICILIO FAMILIAR;HACIENDAS;NO APLICA;NO APLICA;Enero;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;170101818011845;;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;BACHILLERATO;NINGUNO;1;NO APLICA;;NO APLICA;ESTUDIANTE;AGRICULTOR;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA DE FUEGO;NO APLICA;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;ESTUDIANTE;JORNALERO;NO APLICA;NO APLICA;NO APLICA;OTROS NO FAMILIARES;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA DE FUEGO;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
FEMICIDIO;2018;CEVALLOS;TUNGURAHUA;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO;NO;ESTAFA;SI;NO;NO APLICA;RURAL;SIN DATO;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;18;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;39;37;NO;RESUELTA;RESUELTA;NO APLICA;DIVORCIADO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;9/1/2018;;NO APLICA;8/1/2018;;8/1/2018;19/1/2018;30/12/1899;;30/12/1899 0:00:00;8/1/2018;NO APLICA;ENTRE 35 Y 44 AÑOS;ENTRE 35 Y 44 AÑOS;NO;SI;01:45;22:05;30/12/1899 9:21:00;35750;NO APLICA;;SAI;NO APLICA;-1,359849;-78,609643;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;NO APLICA;Enero;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;180301818010007;;NO;141 FEMICIDIO;141 FEMICIDIO;;SUPERIOR;SUPERIOR;PRIMARIA;1;NO APLICA;NO APLICA;SIN DATO;COMISARIA MUNICIPAL;SIN DATO;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA DE FUEGO;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ABOGADA;EMPLEADO;NO APLICA;NO APLICA;NO APLICA;EXCONYUGE;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;EXTINCION DEL EJERCICIO DE LA ACCION PENAL;ARMA DE FUEGO;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
OTRAS MUERTES VIOLENTAS;2018;ELOY ALFARO;ESMERALDAS;1;140 ASESINATO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;34 AÑOS Y 8 MESES;NO;NO;NO;;NO;SI;RURAL;SIN DATO;SIN DATO;NO APLICA;ASESINATO;SOSPECHOSO;NO APLICA;08;1;;NO APLICA;140 ASESINATO;ACUSATORIO;NINGUNA;SI;24;35;NO;RECURSO DE APELACION;TRÁMITE;PROCESADO;SOLTERO/A;SOLTERO/A;AFROECUATORIANO/A-AFRODESCENDIENTE;AFROECUATORIANO/A-AFRODESCENDIENTE;12/1/2018;3/10/2021;12/1/2018;12/1/2018;;12/1/2018;15/1/2018;13/1/2018;;28/8/2020 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;ENTRE 35 Y 44 AÑOS;NO;SIN DATO;23:30;20:30;30/12/1899 10:29:00;35817;SI;;FLAGRANCIA;SIN DATO;1,060920673;-78,913700581;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO APLICA;6;Enero;NO APLICA;NO APLICA;ECUADOR;ECUADOR;080201818010022;;NO;140 ASESINATO;140 ASESINATO;;EDUCACION BASICA;PRIMARIA;PRIMARIA;1;NO APLICA;08257201800010;SIN DATO;QUEHACER DOMESTICOS;SIN DATO;NO APLICA;SIN DATO;SI;NO;;NO;HERIDA POR ARMA DE FUEGO;NO;DELINCUENCIA COMUN;AMENAZA;NO APLICA;OTROS;JORNALERO;NO;NO;NO APLICA;DESCONOCIDO;;RATIFICA SENTENCIA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA DE FUEGO;ASESINATO;NO APLICA;CONDENATORIA;NO;SIN DATO
OTRAS MUERTES VIOLENTAS;2018;GIRON;AZUAY;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO APLICA;NO IDENTIFICADO;NO;NO IDENTIFICADO;;NO IDENTIFICADO;NO APLICA;RURAL;SIN DATO;NO APLICA;NO APLICA;ASESINATO;NO IDENTIFICADO;NO APLICA;01;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;49;NO IDENTIFICADO;NO;INVESTIGACION PREVIA;TRÁMITE;;DIVORCIADO/A;NO IDENTIFICADO;MESTIZO/A;NO IDENTIFICADO;14/1/2018;;NO IDENTIFICADO;14/1/2018;;14/1/2018;14/1/2014;;;30/12/1899 0:00:00;NO IDENTIFICADO;NO APLICA;ENTRE 45 Y 64 AÑOS;NO IDENTIFICADO;NO;SI;12:00;08:30;30/12/1899 14:36:00;35848;NO APLICA;;FLAGRANCIA;NO IDENTIFICADO;-3,16047372;-79,15106535;OTRO LUGAR;OTROS LOCALES COMERCIALES;NO IDENTIFICADO;NO IDENTIFICADO;Enero;NO APLICA;NO IDENTIFICADO;ECUADOR;NO IDENTIFICADO;010201818010007;;NO;140 ASESINATO;140 ASESINATO;;EDUCACION BASICA;PRIMARIA;NO IDENTIFICADO;1;NO APLICA;;3;COSTURERA;NO IDENTIFICADO;NO IDENTIFICADO;NO APLICA;NO IDENTIFICADO;NO IDENTIFICADO;;NO IDENTIFICADO;HERIDA POR ARMA DE FUEGO;;DELINCUENCIA COMUN;AMENAZA;NO APLICA;OTROS;NO IDENTIFICADO;NO IDENTIFICADO;NO APLICA;NO APLICA;NO IDENTIFICADO;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;NO IDENTIFICADO;NO APLICA;ARMA DE FUEGO;ASESINATO;NO APLICA;NO APLICA;NO;NO APLICA
