Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
2007,18,Tungurahua,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"15316,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,19,Zamora Chinchipe,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"1395,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Mujer,"188436,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Hombre,"244651,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"409016,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,01,Azuay,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"25133,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,02,Bolívar,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"3607,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,03,Cañar,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"5428,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,04,Carchi,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"3612,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,06,Chimborazo,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"12140,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,05,Cotopaxi,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"7332,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,07,El Oro,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"12242,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,08,Esmeraldas,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"8327,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,20,Galápagos,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"597,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,09,Guayas,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"94713,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,10,Imbabura,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"12811,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,11,Loja,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"12998,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,12,Los Ríos,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"7855,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,13,Manabí,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"22405,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,14,Morona Santiago,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"1648,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,15,Napo,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"1372,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,22,Orellana,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"669,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,16,Pastaza,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"1752,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,17,Pichincha,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"149163,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2020,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
